Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Revenue,0.0,0.0,,0.0,,0.0,,0.0,,
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,0.0,,0.0,,0.0,,0.0,,
Gross Profit,0.0,0.0,,0.0,,0.0,,0.0,,
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,
SG&A Expense,300000.0,3240000.0,,2772000.0,,2411000.0,,2163000.0,,
Operating Expenses,300000.0,3240000.0,,2772000.0,,2411000.0,,2163000.0,,
Operating Income,-184000.0,3046000.0,,2218000.0,,987000.0,,-353000.0,,
Interest Expense,3448000.0,2183000.0,,1640000.0,,1276000.0,,1266000.0,,
Earnings before Tax,-184000.0,3046000.0,,2218000.0,,987000.0,,-353000.0,,
Income Tax Expense,-20000.0,1242000.0,,796000.0,,329000.0,,-181000.0,,
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income,1770000.0,1804000.0,2000000.0,1422000.0,1000000.0,658000.0,1000000.0,-172000.0,-0000000.0,1000000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income Com,1770000.0,1804000.0,2000000.0,1422000.0,1000000.0,658000.0,1000000.0,-172000.0,-0000000.0,1000000.0
EPS,0.74,0.76,0.76,0.59,0.59,0.25,0.25,0.0,-0.06,3
EPS Diluted,0.74,0.76,0.76,0.59,0.59,0.25,0.25,0.0,-0.06,3
Weighted Average Shs Out,2375871.0,2367424.0,2000000.0,2426687.0,2000000.0,2825847.0,3000000.0,0.0,3000000.0,
Weighted Average Shs Out (Dil),2405954.0,2372297.0,2000000.0,2427498.0,2000000.0,2607027.0,3000000.0,0.0,3000000.0,
Dividend per Share,0.339574239574,0.0,,0.0,,0.0,,0.0,,
Gross Margin,0.0,0.0,,0.0,,0.0,,0.0,,
EBITDA Margin,0.0,0.0,,0.0,,0.0,,0.0,,
EBIT Margin,0.0,0.0,,0.0,,0.0,,0.0,,
Profit Margin,0.0,0.0,,0.0,,0.0,,0.0,,
Free Cash Flow margin,0.0,0.0,,0.0,,0.0,,0.0,,
EBITDA,-97000.0,3092000.0,,2189000.0,,1071000.0,,-275000.0,,
EBIT,-184000.0,3046000.0,2000000,2218000.0,1000000,987000.0,1000000,-353000.0,0,1000000
Consolidated Income,1770000.0,1804000.0,2000000.0,1422000.0,1000000.0,658000.0,1000000.0,-172000.0,-0000000.0,1000000.0
Earnings Before Tax Margin,0.0,0.0,,0.0,,0.0,,0.0,,
Net Profit Margin,0.0,0.0,,0.0,,0.0,,0.0,,
