date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,1211000000.0,1208000000.0,1098883000.0,805103000.0,654471000.0,619638000.0,527875000.0,500951000.0,436492000.0,403301000.0,380414000.0,355096000.0,276564000.0,268112000.0,246356000.0,248199000.0,424048000.0,401986000.0,253825000.0,211200000.0,195300000.0,164300000.0,134100000.0,96000000.0,92300000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,462000000.0,469000000.0,434452000.0,320731000.0,263952000.0,254294000.0,232370000.0,216472000.0,169774000.0,148601000.0,178929000.0,119587000.0,89528000.0,86207000.0,83689000.0,74024000.0,170900000.0,143210000.0,99933000.0,76600000.0,70200000.0,57900000.0,46400000.0,30400000.0,29100000.0
,SellingAndMarketingExpenses,0.0,0.0,11505000.0,10141000.0,8396000.0,7824000.0,6349000.0,4991000.0,6375000.0,5161000.0,5321000.0,4589000.0,2914000.0,2845000.0,3210000.0,2142000.0,3863000.0,3697000.0,2698000.0,2500000.0,2800000.0,2400000.0,2200000.0,1800000.0,2300000.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66000.0,2339000.0,7893000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,1070000000.0,994000000.0,819000000.0,597000000.0,477000000.0,451000000.0,405000000.0,402000000.0,387000000.0,387000000.0,443000000.0,448000000.0,352000000.0,324000000.0,275000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,330000000.0,238000000.0,133892000.0,67451000.0,48573000.0,42686000.0,44344000.0,59055000.0,74617000.0,88731000.0,121179000.0,157989000.0,174053000.0,153585000.0,108780000.0,84390000.0,129836000.0,145671000.0,125667000.0,135300000.0,106500000.0,103400000.0,84500000.0,58300000.0,58100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,14000000.0,16000000.0,17517000.0,11210000.0,8305000.0,9717000.0,8407000.0,9135000.0,7228000.0,6714000.0,7088000.0,20970000.0,13433000.0,14467000.0,15315000.0,14620000.0,31974000.0,20232000.0,13918000.0,12600000.0,11300000.0,8600000.0,6900000.0,4100000.0,4700000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
