Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Depreciation & Amortization,3102000.0,2410000.0,1924000.0,1311000.0,1542000.0,1359000.0,1389000.0,1382000.0,829000.0
Stock-based compensation,55360000.0,43284000.0,30362000.0,22858000.0,9333000.0,4974000.0,2809000.0,2353000.0,1934000.0
Operating Cash Flow,-326058000.0,-225125000.0,-196455000.0,-207252000.0,-100706000.0,-63615000.0,-49225000.0,-11321000.0,-29646000.0
Capital Expenditure,-2559000.0,-1236000.0,-1864000.0,-4746000.0,-1629000.0,-933000.0,-362000.0,-1477000.0,-2390000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,176640000.0,-222536000.0,142407000.0,58032000.0,-137523000.0,-119803000.0,-67440000.0,28187000.0,-2475000.0
Investing Cash flow,174081000.0,-228772000.0,140543000.0,52945000.0,-139152000.0,-120736000.0,-67802000.0,32710000.0,-4865000.0
Issuance (repayment) of debt,95000000.0,47444000.0,50000000.0,0.0,0.0,0.0,0.0,-2598000.0,-6667000.0
Issuance (buybacks) of shares,15389000.0,399536000.0,1441000.0,284164000.0,180163000.0,254394000.0,317000.0,116000.0,175000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,110249000.0,446980000.0,57741000.0,283282000.0,179599000.0,248511000.0,317000.0,94218000.0,-6492000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-41728000.0,-6917000.0,1829000.0,128974000.0,-60259000.0,64160000.0,-116710000.0,115607000.0,-41003000.0
Free Cash Flow,-328617000.0,-226361000.0,-198319000.0,-211998000.0,-102335000.0,-64548000.0,-49587000.0,-12798000.0,-32036000.0
Net Cash/Marketcap,0.0792,0.1127,0.2086,0.1639,0.2246,0.2627,0.1858,0.1858,0.1858
