Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Revenue,8611000000.0,8611000000.0,9128000000.0,9128000000.0,8896000000.0,8896000000.0,5576000000.0,5576000000.0,4772490000.0,4772000000.0,4761576000.0,5011853000.0,5243043000.0,3797675000.0
Revenue Growth,0,-0.0566389132340053,0,0.0260791366906475,0,0.595408895265423,0,0.168362846229117,0.00010268231349539,0.00218919114175643,-0.0499370193020426,-0.0440946221497707,0.380592862738386,0.0
Cost of Revenue,4030000000.0,3339000000.0,6719000000.0,3556000000.0,4028000000.0,3357000000.0,2196000000.0,1927000000.0,465395000.0,1584000000.0,431073000.0,441588000.0,518682000.0,383679000.0
Gross Profit,4581000000.0,5272000000.0,2409000000.0,5572000000.0,4868000000.0,5539000000.0,3380000000.0,3649000000.0,4307095000.0,3189000000.0,4330503000.0,4570265000.0,4724361000.0,3413996000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
SG&A Expense,1815000000.0,1846000000.0,2018000000.0,2101000000.0,2093000000.0,2093000000.0,1348000000.0,1348000000.0,1088180000.0,1088000000.0,0.0,0.0,0.0,0.0
Operating Expenses,3754000000.0,3800000000.0,3977000000.0,4285000000.0,3980000000.0,4124000000.0,2635000000.0,2668000000.0,3952549000.0,2227000000.0,3795456000.0,4024685000.0,4343422000.0,3025677000.0
Operating Income,827000000.0,1472000000.0,-1568000000.0,1287000000.0,888000000.0,1415000000.0,745000000.0,981000000.0,819941000.0,962000000.0,980721000.0,987168000.0,899621000.0,771998000.0
Interest Expense,1536000000.0,1536000000.0,1534000000.0,1534000000.0,1531000000.0,1531000000.0,1113000000.0,1113000000.0,695500000.0,696000000.0,667398000.0,687985000.0,665196000.0,521820000.0
Earnings before Tax,-705000000.0,-705000000.0,-3187000000.0,-3187000000.0,-623000000.0,-623000000.0,-361000000.0,-361000000.0,163437000.0,163000000.0,162720000.0,228952000.0,245951000.0,270716000.0
Income Tax Expense,-62000000.0,-62000000.0,-1383000000.0,-1383000000.0,-250000000.0,-250000000.0,-165000000.0,-165000000.0,30544000.0,31000000.0,47242000.0,75638000.0,88343000.0,114999000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income,-643000000.0,-643000000.0,-1804000000.0,-1804000000.0,-587000000.0,-373000000.0,-316000000.0,-196000000.0,132893000.0,133000000.0,112835000.0,136636000.0,149614000.0,152673000.0
Preferred Dividends,107000000.0,,214000000.0,,214000000.0,,120000000.0,,0.0,,0.0,0.0,0.0,0.0
Net Income Com,-643000000.0,-643000000.0,-1804000000.0,-1804000000.0,-587000000.0,-373000000.0,-316000000.0,-196000000.0,132893000.0,133000000.0,112835000.0,136636000.0,149614000.0,152673000.0
EPS,-8.37,,-25.99,,-0.51,,-0.29,,0.13,,0.11,0.14,0.15,0.23
EPS Diluted,-8.37,,-25.99,,-0.51,,-0.29,,0.13,,0.11,0.13,0.15,0.23
Weighted Average Shs Out,89683000.0,,77736000.0,,1164099000.0,,1084606000.0,,994418000.0,,992659000.0,990537000.0,989852.0,0.0
Weighted Average Shs Out (Dil),89683000.0,,77736000.0,,1164099000.0,,1084606000.0,,998162000.0,,993997000.0,991800000.0,991824.0,0.0
Dividend per Share,1.1930912213,,3.42183801585,,0.423503499273,,0.420429169671,,0.401630196301,,0.402182300349,0.402692075015,752.53976512,0.0
Gross Margin,0.531993961212,0.61224015793752,0.263913234005,0.61042944785276,0.547212230216,0.62263938848921,0.606169296987,0.65441176470588,0.902483818719,0.66827326068734,0.9094684197,0.911891270554,0.901072335283,0.898970027714
EBITDA Margin,0.326907443967,0.32342352804552,0.0710999123576,0.058172655565294,0.333295863309,0.33037320143885,0.404591104735,0.37159253945481,0.410453033951,0.418692372171,0.451577586917,0.449728872734,0.439209825287,0.438614942037
EBIT Margin,0.0960399489026,0.096504471025433,-0.171779141104,-0.18109114811569,0.0998201438849,0.10206834532374,0.133608321377,0.13486370157819,0.171805703103,0.1802179379715,0.205965629867,0.19696667081,0.171583753938,0.203281744752
Profit Margin,-0.0746719312507,-0.074671931250726,-0.197633654689,-0.19763365468887,-0.0659847122302,-0.041928956834532,-0.0566714490674,-0.035150645624103,0.0278456319448,0.027870913663034,0.0236969860399,0.0272625713484,0.0285357186657,0.0402017023574
Free Cash Flow margin,0.0720009290442,,0.0762489044698,,0.0457508992806,,0.105989956958,,0.146177152807,,0.180810303143,0.16043287782,0.157221674512,0.195196271403
EBITDA,2815000000.0,2785000000.0,649000000.0,531000000.0,2965000000.0,2939000000.0,2256000000.0,2072000000.0,1958883000.0,1998000000.0,2150221000.0,2253975000.0,2302796000.0,1665717000.0
EBIT,827000000.0,831000000,-1568000000.0,-1653000000,888000000.0,908000000,745000000.0,752000000,819941000.0,860000000,980721000.0,987168000.0,899621000.0,771998000.0
Consolidated Income,-643000000.0,-643000000.0,-1804000000.0,-1804000000.0,-587000000.0,-373000000.0,-316000000.0,-196000000.0,132893000.0,133000000.0,112835000.0,136636000.0,149614000.0,152673000.0
Earnings Before Tax Margin,-0.0818720241552,-0.08187202415515,-0.349145486415,-0.34914548641543,-0.0700314748201,-0.070031474820144,-0.0647417503587,-0.06474175035868,0.0342456453549,0.034157585917854,0.0341735593425,0.0456821059995,0.0469099719381,0.0712846675927
Net Profit Margin,-0.0746719312507,-0.074671931250726,-0.197633654689,-0.19763365468887,-0.0659847122302,-0.041928956834532,-0.0566714490674,-0.035150645624103,0.0278456319448,0.027870913663034,0.0236969860399,0.0272625713484,0.0285357186657,0.0402017023574
