date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,145384000.0,100443000.0,73185000.0,39122000.0,13425000.0,-8673000.0,24844000.0
,depreciationAndAmortization,19528000.0,23189000.0,38801000.0,46474000.0,58114000.0,69521000.0,30519000.0
,deferredIncomeTax,527000.0,10050000.0,3942000.0,3237000.0,-9006000.0,-12690000.0,5982000.0
,stockBasedCompensation,13784000.0,20741000.0,6499000.0,4463000.0,9815000.0,22324000.0,1958000.0
,changeInWorkingCapital,59515000.0,52938000.0,-16177000.0,-27380000.0,3941000.0,-38977000.0,28939000.0
,accountsReceivables,-5530000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-2597000.0,4730000.0,1342000.0,4816000.0,691000.0,2481000.0,628000.0
,otherWorkingCapital,33541000.0,-25974000.0,-78912000.0,-62735000.0,-35355000.0,-39296000.0,-319000.0
,otherNonCashItems,13196000.0,11856000.0,-5444000.0,-8792000.0,1557000.0,2445000.0,2127000.0
,netCashProvidedByOperatingActivites,258676000.0,201867000.0,156584000.0,97385000.0,91732000.0,84117000.0,98142000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-31340000.0,-17912000.0,-16024000.0,-11724000.0,-13537000.0,-6465000.0,-4561000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,126000.0,-1232000.0,-949000.0,56000.0,115000.0,33000.0,89000.0
,netCashUsedForInvestingActivites,-31214000.0,-19144000.0,-16973000.0,-12237000.0,-13422000.0,-6432000.0,-4472000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,23105000.0,-80438000.0,-142188000.0,-42375000.0,-390608000.0,-116055000.0,-96431000.0
,commonStockIssued,0.0,0.0,0.0,0.0,173578000.0,608000.0,1177000.0
,commonStockRepurchased,-98274000.0,0.0,0.0,-155583000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,-1881000.0,-1682000.0,-6021000.0,-1292000.0,-1049000.0
,netCashUsedProvidedByFinancingActivities,-82282000.0,-73918000.0,-141580000.0,-97828000.0,-58008000.0,-116489000.0,-95851000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,666000.0,-167000.0,-1241000.0,1765000.0,-632000.0,-601000.0,159000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,145846000.0,108638000.0,-3210000.0,-10915000.0,19670000.0,-39405000.0,-2022000.0
,cashAtEndOfPeriod,277766000.0,131920000.0,23282000.0,26492000.0,37407000.0,14880000.0,23858000.0
,cashAtBeginningOfPeriod,131920000.0,23282000.0,26492000.0,37407000.0,17737000.0,54285000.0,25880000.0
,operatingCashFlow,258676000.0,201867000.0,156584000.0,97385000.0,91732000.0,84117000.0,98142000.0
,capitalExpenditure,-31340000.0,-17912000.0,-16024000.0,-12293000.0,-13537000.0,-6465000.0,-4561000.0
,freeCashFlow,227336000.0,183955000.0,140560000.0,85092000.0,78195000.0,77652000.0,93581000.0
