Date,2018-12-31,2018-09-30,2017-09-30,2016-09-30
Cash and cash equivalents,217450000.0,247089000.0,137070000.0,28059000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,217450000.0,247089000.0,137070000.0,28059000.0
Receivables,13342000.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,232966000.0,259278000.0,142482000.0,30926000.0
Property Plant & Equipment Net,19968000.0,13528000.0,6180000.0,3254000.0
Goodwill and Intangible Assets,0.0,399000.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,
Total non-current assets,13927000.0,6180000.0,3254000.0,
Total assets,254210000.0,273205000.0,148662000.0,34180000.0
Payables,2022000.0,3416000.0,2709000.0,2008000.0
Short-term debt,0.0,0.0,0.0,0.0
Total current liabilities,21076000.0,17139000.0,5033000.0,2735000.0
Long-term debt,0.0,0.0,0.0,188000.0
Total debt,0.0,0.0,188000.0,
Deferred revenue,0.0,0.0,0.0,
Tax Liabilities,0.0,0.0,0.0,
Deposit Liabilities,0.0,0.0,0.0,
Total non-current liabilities,601000.0,1028000.0,758000.0,
Total liabilities,21568000.0,17740000.0,6061000.0,3493000.0
Other comprehensive income,-9920000.0,-3849000.0,-4651000.0,
Retained earnings (deficit),-113301000.0,-92653000.0,-47902000.0,-28175000.0
Total shareholders equity,232642000.0,255465000.0,142601000.0,30687000.0
Investments,0.0,0.0,0.0,0.0
Net Debt,-217450000.0,-247089000.0,,
Other Assets,-230792000.0,12189000.0,,
Other Liabilities,19054000.0,13723000.0,2324000.0,727000.0
