date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2004-03-15_FY,2003-12-31_FY,2003-03-10_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-03-31_FY,1986-03-31_FY
,revenue,7110000000.0,7874000000.0,7492000000.0,7355000000.0,6895000000.0,5971000000.0,9006000000.0,10018000000.0,0.0,0.0,6055000000.0,6071000000.0,5334000000.0,4584000000.0,5398000000.0,8937000000.0,0.0,0.0,4925000000.0,0.0,5020000000.0,4560000000.0,3768000000.0,3390000000.0,3191000000.0,3417000000.0,1788549000.0,1930321000.0,1605515000.0,1479084000.0,1196600000.0,1630500000.0,1580400000.0,1577800000.0,1554500000.0,2010500000.0,1950400000.0,1931100000.0
,costOfRevenue,2487000000.0,2755000000.0,2644000000.0,2631000000.0,2488000000.0,2129000000.0,0.0,0.0,0.0,0.0,2209000000.0,2252000000.0,1916000000.0,1624000000.0,1983000000.0,0.0,0.0,0.0,1764000000.0,0.0,1794000000.0,1611000000.0,1332000000.0,1185000000.0,1092000000.0,1282000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,4623000000.0,5119000000.0,4848000000.0,4724000000.0,4407000000.0,3842000000.0,9006000000.0,10018000000.0,0.0,0.0,3846000000.0,3819000000.0,3418000000.0,2960000000.0,3415000000.0,8937000000.0,0.0,0.0,3161000000.0,0.0,3226000000.0,2949000000.0,2436000000.0,2205000000.0,2099000000.0,2135000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.650210970464135,0.650114300228601,0.647090229578217,0.642284160435078,0.639158810732415,0.643443309328421,1.0,1.0,0.0,0.0,0.635177539223782,0.62905616867073,0.64079490063742,0.645724258289703,0.632641719155243,1.0,0.0,0.0,0.641827411167513,0.0,0.642629482071713,0.64671052631579,0.646496815286624,0.650442477876106,0.657787527420871,0.624817091015511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900000.0,8300000.0,8300000.0,0.0
,GeneralAndAdministrativeExpenses,1901000000.0,1767000000.0,1725000000.0,1693000000.0,1627000000.0,1444000000.0,1467000000.0,1565000000.0,1628000000.0,1626000000.0,1687000000.0,1935000000.0,1482000000.0,1150000000.0,1405000000.0,1333000000.0,1339000000.0,0.0,952000000.0,0.0,996000000.0,946000000.0,775000000.0,0.0,1304000000.0,1277000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,1212000000.0,-1292000000.0,-1191000000.0,-1163000000.0,-1109000000.0,-965000000.0,0.0,0.0,0.0,0.0,-1091000000.0,-1112000000.0,-1053000000.0,-938000000.0,-1148000000.0,0.0,0.0,0.0,1050000000.0,0.0,1117000000.0,1028000000.0,884000000.0,0.0,1304000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498000000.0,465000000.0,369000000.0,323000000.0,0.0,1360215000.0,1521117000.0,1318912000.0,1228428000.0,1035700000.0,1630500000.0,1580400000.0,1552100000.0,1529600000.0,1990500000.0,1942100000.0,1918400000.0
