date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY
,revenue,8840043542.0,7692342304.0,4775366052.0
,costOfRevenue,901787168.0,2735428296.0,880845857.0
,grossProfit,7938256374.0,4956914008.0,3894520195.0
,grossProfitRatio,0.897988379388007,0.644395921567663,0.815543803886806
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,204780905.0,199560164.0,153257564.0
,GeneralAndAdministrativeExpenses,286059239.0,255867298.0,183673832.0
,SellingAndMarketingExpenses,280615518.0,540550282.0,431749549.0
,otherExpenses,14259698.0,14709710.0,1744955.0
,operatingExpenses,4089501291.0,2267545862.0,1473294392.0
,costAndExpenses,4991288459.0,5002974158.0,2354140249.0
,interestExpense,23934289.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,46203367.0,12065648.0,5790986.0
,EBITDA,3894958450.0,2701433794.0,2427016789.0
,EBITDARatio,0.440603989278405,0.35118481305691,0.508236805843089
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,3848755083.0,2689368146.0,2421225803.0
,operatingIncomeRatio,0.435377389796119,0.349616285874529,0.507024126870013
,totalOtherIncomeExpensesNet,21583678.0,-76098334.0,-22581650.0
,incomeBeforeTax,3890521771.0,2649046731.0,2420004823.0
,incomeBeforeTaxRatio,0.440102104985763,0.344374525509935,0.506768443852899
,incomeTaxExpense,626233846.0,157730518.0,255546003.0
,netIncome,3264287925.0,2491316213.0,2164458820.0
,netIncomeRatio,0.369261521110277,0.32386965043203,0.453255058655344
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,11.72,7.82,17.12
,EPSDiluted,10.94,7.74,7.09
,weightedAverageShsOut,278531382.0,318685836.0,126410744.0
,weightedAverageShsOutDil,300457711.0,321955142.0,305241992.0
