date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,23087000.0,-40474000.0,-204164000.0,-53272000.0,8601000.0,-108424000.0,-61448000.0,-38200000.0,88900000.0,103600000.0,35000000.0,5500000.0,-4800000.0,-6700000.0,-6700000.0,-4900000.0,-3000000.0,-1243823.697081,-387753.344519,-60826.904055,-85579.781962
,depreciationAndAmortization,0.0,67220000.0,94522000.0,78077000.0,80352000.0,75822000.0,61163000.0,43900000.0,26000000.0,15700000.0,9100000.0,5500000.0,5800000.0,8100000.0,2700000.0,1700000.0,200000.0,866.362627,0.0,0.0,2237.859267
,deferredIncomeTax,6642000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23000000.0,10200000.0,-2900000.0,-1900000.0,1000000.0,-1000000.0,-400000.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,8255000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-22831000.0,31110000.0,-28299000.0,-10535000.0,-7263000.0,-3645000.0,18979000.0,-3000000.0,-10600000.0,-32700000.0,0.0,-7700000.0,14700000.0,-4200000.0,-600000.0,600000.0,-2400000.0,-199870.23313,108732.869085,-18901.417738,-3209.778659
,accountsReceivables,24000.0,0.0,-633000.0,0.0,0.0,0.0,0.0,-2400000.0,0.0,0.0,-600000.0,-400000.0,1700000.0,-2400000.0,2000000.0,-2400000.0,-100000.0,0.0,0.0,0.0,0.0
,inventory,-4288000.0,0.0,-13610000.0,0.0,0.0,0.0,1160000.0,-3200000.0,0.0,0.0,-5000000.0,500000.0,-1200000.0,-1500000.0,-500000.0,-800000.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,10765000.0,0.0,-8139000.0,0.0,0.0,0.0,0.0,-100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,124543000.0,0.0,118044000.0,147347000.0,120505000.0,71046000.0,0.0,67516000.0,109703000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,14773000.0,82169000.0,171203000.0,56181000.0,18322000.0,92341000.0,74689000.0,131600000.0,31900000.0,17900000.0,2300000.0,5500000.0,5500000.0,5700000.0,3300000.0,1100000.0,1200000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,79713000.0,140025000.0,33262000.0,70451000.0,100012000.0,56094000.0,93383000.0,134300000.0,136200000.0,127500000.0,56700000.0,5900000.0,19200000.0,3900000.0,-2300000.0,-1900000.0,-3900000.0,-642893.576165,26485.916643,-59558.193208,-41207.796498
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-114490000.0,-118608000.0,-111308000.0,-75512000.0,-62460000.0,-56937000.0,-104276000.0,-178742000.0,-175134000.0,-95926000.0,-34334626.459766,-31888422.309235,-32380203.779786,-31037786.529335,-11400000.0,-7885450.547478,-2626102.821132,-1843521.407783,-194338.446005,-67053.742169,-54593.987446
,acquisitionsNet,0.0,0.0,-1000000.0,0.0,0.0,28000000.0,0.0,0.0,8614000.0,-51630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-12625000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-127115000.0,-116934000.0,-117041000.0,-75928000.0,-66586000.0,-28683000.0,-105759000.0,-188665000.0,-172978000.0,-104045000.0,-31556242.00128,-33784012.988253,-44816649.958915,-36050610.925982,-11400000.0,-28437336.205349,-2626102.821132,-1822418.914459,-194338.446005,-67053.742169,-54593.987446
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-27675000.0,-6217000.0,0.0,0.0,0.0,0.0,0.0,0.0,-11891000.0,-18984000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,126132000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9993249.122386,0.0,272007.912957,0.0
,commonStockRepurchased,-1694000.0,98579000.0,2557000.0,5740000.0,65087000.0,22968000.0,478000.0,-600000.0,10600000.0,28400000.0,14900000.0,25700000.0,39000000.0,37500000.0,14800000.0,40300000.0,1400000.0,-237234.090432,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-4200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,116574000.0,87680000.0,25443000.0,-8652000.0,44826000.0,-15782000.0,-1176000.0,-1741000.0,56325000.0,26918000.0,8367893.137098,16351352.30637,31745541.495481,26753689.790972,14800000.0,42234598.815293,1425804.055378,9756015.031954,0.0,272007.912957,0.0
