date,,2020-03-28_FY,2019-03-30_FY,2018-03-31_FY,2017-03-25_FY,2016-03-26_FY,2015-03-28_FY,2014-03-29_FY,2013-03-30_FY,2012-03-31_FY,2011-03-26_FY,2010-03-27_FY,2009-03-28_FY,2008-03-29_FY,2007-03-31_FY,2006-03-25_FY,2005-03-26_FY,2004-03-27_FY,2003-03-29_FY,2002-03-30_FY,2001-03-31_FY,2000-03-25_FY,1999-03-27_FY,1998-03-28_FY,1997-03-29_FY,1996-03-30_FY,1995-04-01_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,159498000.0,89991000.0,161995000.0,261209000.0,123630000.0,55178000.0,108100000.0,136600000.0,87983000.0,203500000.0,38400000.0,3500000.0,-5800000.0,27895000.0,52400000.0,-13400000.0,46500000.0,-199200000.0,-206100000.0,143176000.0,-47100000.0,-427400000.0,36500000.0,-46200000.0,-36200000.0,61400000.0,44700000.0,20600000.0,15600000.0,18800000.0,15400000.0
,depreciationAndAmortization,68237000.0,79826000.0,81399000.0,63433000.0,58060000.0,34855000.0,14900000.0,13600000.0,9972000.0,8100000.0,7900000.0,8200000.0,8600000.0,5636000.0,8500000.0,24200000.0,27200000.0,40000000.0,35400000.0,29127000.0,32200000.0,62300000.0,71900000.0,88000000.0,64300000.0,34300000.0,26900000.0,15200000.0,8400000.0,5100000.0,3800000.0
,deferredIncomeTax,-5888000.0,1717000.0,11646000.0,10885000.0,23202000.0,32238000.0,36000000.0,60600000.0,-10154000.0,-120000000.0,-11900000.0,2700000.0,4200000.0,-7553000.0,-300000.0,0.0,0.0,0.0,0.0,0.0,0.0,46700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,53757000.0,49689000.0,48741000.0,39593000.0,33506000.0,37549000.0,23074000.0,21495000.0,12178000.0,8141000.0,5318000.0,5166000.0,5274000.0,0.0,15000.0,497000.0,1377000.0,3614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-17884000.0,35978000.0,-158388000.0,253848000.0,102670000.0,-117465000.0,41400000.0,72798000.0,11202000.0,124400000.0,16100000.0,-67800000.0,-91717000.0,54217000.0,48400000.0,13500000.0,74500000.0,-31200000.0,-246757000.0,136657000.0,73100000.0,-312200000.0,47500000.0,246100000.0,-69000000.0,-16000000.0,169900000.0,32100000.0,1000000.0,19300000.0,-2600000.0
,accountsReceivables,-33082000.0,-14316000.0,19173000.0,-31442000.0,24156000.0,-37344000.0,6815000.0,-25232000.0,-5055000.0,-15135000.0,-13149000.0,9346000.0,-666000.0,0.0,-2344000.0,1211000.0,2908000.0,19471000.0,93900000.0,0.0,-32600000.0,37000000.0,70600000.0,-40000000.0,27600000.0,-79500000.0,0.0,0.0,0.0,0.0,0.0
,inventory,17765000.0,40636000.0,-37865000.0,-25880000.0,-57819000.0,16077000.0,49557000.0,-67606000.0,-15418000.0,-5101000.0,-15518000.0,2744000.0,-3259000.0,2396000.0,6976000.0,2983000.0,-7293000.0,5646000.0,81200000.0,-55873000.0,-13000000.0,63400000.0,23600000.0,7200000.0,-30900000.0,-30500000.0,-24600000.0,-24500000.0,-4200000.0,1300000.0,-9400000.0
,accountsPayables,27626000.0,-21965000.0,143000.0,1772000.0,-41456000.0,36504000.0,-9443000.0,22423000.0,10469000.0,7299000.0,10454000.0,-6278000.0,4868000.0,0.0,3583000.0,-8721000.0,9047000.0,-25227000.0,42400000.0,0.0,79000000.0,42500000.0,21700000.0,-16900000.0,-73900000.0,-60400000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,491559000.0,509443000.0,473465000.0,631853000.0,378005000.0,275335000.0,392800000.0,351400000.0,278602000.0,267400000.0,143000000.0,126900000.0,194700000.0,286417000.0,232200000.0,183800000.0,170300000.0,95800000.0,127000000.0,373757000.0,237100000.0,164000000.0,476200000.0,428700000.0,182600000.0,251600000.0,267600000.0,97700000.0,65600000.0,64600000.0,45300000.0
,otherNonCashItems,76758000.0,58594000.0,-3864000.0,59076000.0,52840000.0,23934000.0,21000000.0,26200000.0,87983000.0,8100000.0,4800000.0,6400000.0,20900000.0,10006000.0,-100000.0,-2500000.0,-9100000.0,149400000.0,24300000.0,0.0,-37500000.0,243400000.0,-7100000.0,-8100000.0,800000.0,3100000.0,-100000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,295815000.0,206694000.0,318711000.0,369751000.0,149046000.0,163513000.0,228000000.0,160800000.0,83195000.0,86900000.0,25100000.0,23100000.0,31400000.0,35625000.0,59800000.0,-17100000.0,69600000.0,-18200000.0,-29000000.0,1081000.0,-179400000.0,-15600000.0,192200000.0,2600000.0,7700000.0,65100000.0,49200000.0,28400000.0,17500000.0,21300000.0,14600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-15656000.0,-31615000.0,-55180000.0,-41849000.0,-41569000.0,-32311000.0,-15058000.0,-52902000.0,-35948000.0,-20060000.0,-3654000.0,-3060000.0,-3699000.0,-5263000.0,-2198000.0,-3621000.0,-2314000.0,-15407000.0,-16700000.0,-18461000.0,-8400000.0,-12700000.0,-27600000.0,-30700000.0,-127800000.0,-47300000.0,-34900000.0,-26700000.0,-5500000.0,-10900000.0,-7300000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-36759000.0,-444138000.0,-20402000.0,0.0,0.0,0.0,-550000.0,-550000.0,-42753000.0,-11000000.0,0.0,0.0,0.0,6490000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-369465000.0,-258861000.0,-238434000.0,-15439000.0,-60503000.0,-10534000.0,-52138000.0,-86059000.0,-127852000.0,-255426000.0,-147929000.0,-107137000.0,-197119000.0,-218186000.0,-187605000.0,-109377000.0,-32911000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-211400000.0,-200500000.0,-40100000.0,-62900000.0,-21600000.0
,salesMaturitiesOfInvestments,170818000.0,70840000.0,138221000.0,212863000.0,125660000.0,0.0,0.0,0.0,187068000.0,0.0,0.0,0.0,0.0,161524000.0,0.0,0.0,0.0,0.0,0.0,89354000.0,0.0,0.0,0.0,0.0,0.0,0.0,200300000.0,194700000.0,55100000.0,36300000.0,17000000.0
