date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,revenue,272000000.0,281600000.0,282300000.0,431000000.0,399200000.0,420200000.0,569200000.0,551700000.0,440377000.0,284895000.0,195256000.0,288281000.0,334221000.0,306192730.0,242857756.0,184700318.0,18490000.0,155865.109159,154259.475622,168621540.513505,154331540.463845
,costOfRevenue,160400000.0,149300000.0,158100000.0,194100000.0,254700000.0,268600000.0,340600000.0,351100000.0,293852000.0,93993000.0,65553000.0,113458000.0,133362000.0,109216595.0,92150399.0,71345773.0,0.0,133595.035285,134730.335808,139610536.845615,128797994.932094
,grossProfit,111600000.0,132300000.0,124200000.0,236900000.0,144500000.0,151600000.0,228600000.0,200600000.0,146525000.0,190902000.0,129703000.0,174823000.0,200859000.0,196976135.0,150707357.0,113354545.0,0.0,22270.073874,19529.139813,29011003.667889,25533545.53175
,grossProfitRatio,0.410294117647059,0.469815340909091,0.439957492029756,0.549651972157773,0.361973947895792,0.360780580675869,0.401616303583977,0.363603407649085,0.332726277712051,0.670078449955247,0.66427152046544,0.606432612624488,0.600976599316021,0.643307680753883,0.620558138567335,0.61372143928848,0.0,0.142880430355212,0.126599288207452,0.172048028855278,0.165446061479129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,1100000.0,3700000.0,7200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,24800000.0,23900000.0,23900000.0,23600000.0,22600000.0,29400000.0,37900000.0,35200000.0,28267000.0,38108000.0,20880000.0,34384000.0,23379000.0,8185480.0,6367070.0,5095021.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,4800000.0,-2200000.0,7100000.0,500000.0,4300000.0,5100000.0,2800000.0,11000000.0,5212000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,84500000.0,88400000.0,107600000.0,136700000.0,136100000.0,140500000.0,204200000.0,209500000.0,146298000.0,158578000.0,87773000.0,137142000.0,114033000.0,175499950.0,96998884.0,77942213.0,14576000.0,11838.837332,16225.078205,14384128.042681,13184840.47144
,costAndExpenses,244900000.0,237700000.0,265700000.0,330800000.0,390800000.0,409100000.0,544800000.0,560600000.0,440150000.0,252571000.0,153326000.0,250600000.0,247395000.0,284716545.0,189149283.0,149287986.0,14576000.0,145433.872617,150955.414013,153994664.888296,141982835.403534
,interestExpense,43600000.0,45100000.0,54500000.0,81700000.0,115200000.0,115300000.0,178600000.0,138500000.0,106306000.0,46051000.0,29361000.0,79026000.0,69748000.0,0.0,0.0,0.0,0.0,14144.609384,13891.506175,13682560.853618,11951696.09136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,59700000.0,64500000.0,83700000.0,113100000.0,113500000.0,110000000.0,162600000.0,167100000.0,118031000.0,63638000.0,40387000.0,55847000.0,49267000.0,0.0,0.0,0.0,3579000.0,12505.160991,17135.265518,14384128.042681,13047440.845664
,EBITDA,86800000.0,108400000.0,100300000.0,213300000.0,121900000.0,121100000.0,187000000.0,158200000.0,118258000.0,95962000.0,82317000.0,93528000.0,136093000.0,216862350.0,87462443.0,56076190.0,7493000.0,22936.397533,20439.327127,29011003.667889,25396145.905975
,EBITDARatio,0.319117647058824,0.384943181818182,0.355295784626284,0.494895591647332,0.305360721442886,0.288196097096621,0.328531271960647,0.286750045314483,0.268538093497163,0.336832868249706,0.421584996107674,0.324433452083211,0.407194640671891,0.708254405648364,0.360138561932525,0.303606353292797,0.405246078961601,0.147155432391237,0.132499653875946,0.172048028855278,0.164555772784012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,27100000.0,43900000.0,16600000.0,100200000.0,8400000.0,11100000.0,24400000.0,-8900000.0,227000.0,32324000.0,41930000.0,37681000.0,86826000.0,21476185.0,53708473.0,35412332.0,3914000.0,10431.236542,3304.061609,14626875.625208,12348705.060311
,operatingIncomeRatio,0.0996323529411765,0.155894886363636,0.0588026921714488,0.232482598607889,0.0210420841683367,0.0264159923845788,0.0428671820098384,-0.0161319557730651,0.000515467429043751,0.113459344670844,0.214743721063629,0.130709273243814,0.259786189377687,0.0701394347279245,0.221151977538654,0.191728592475948,0.211681990265008,0.0669247697466337,0.0214188567391239,0.0867438144656051,0.0800141372476219
,totalOtherIncomeExpensesNet,65800000.0,-32800000.0,75300000.0,-169600000.0,-21700000.0,-10300000.0,-39800000.0,110300000.0,-38783000.0,-30238000.0,2500000.0,-29743000.0,106133000.0,-147197664.0,7950897.0,16605899.0,0.0,-6430.118592,-10233.168758,-2880293.431144,-4142702.2847
,incomeBeforeTax,49300000.0,-34000000.0,37400000.0,-151100000.0,-128500000.0,-114500000.0,-194000000.0,-37100000.0,-144862000.0,-43965000.0,15069000.0,-71088000.0,123211000.0,-196978149.0,-1831058.0,2030269.0,0.0,-10106.649897,-20820.613324,-1935978.659553,-3745693.31575
,incomeBeforeTaxRatio,0.18125,-0.120738636363636,0.132483173928445,-0.350580046403712,-0.32189378757515,-0.272489290813898,-0.340829234012649,-0.0672466920427769,-0.32894996786844,-0.154320012636234,0.0771756053591183,-0.246592734172561,0.368651281637001,-0.643314258310444,-0.00753963155288316,0.0109922333755809,0.0,-0.064842285432143,-0.134971373654991,-0.0114812061001064,-0.0242704330203164
