date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,revenue,1029564000.0,816416000.0,598746000.0,430492000.0,311999000.0,208768000.0,127049000.0,72045000.0,38228000.0
,costOfRevenue,251255000.0,234282000.0,181255000.0,127422000.0,93900000.0,67184000.0,46047000.0,24531000.0,13253000.0
,grossProfit,778309000.0,582134000.0,417491000.0,303070000.0,218099000.0,141584000.0,81002000.0,47514000.0,24975000.0
,grossProfitRatio,0.755959804344363,0.713036001254263,0.697275639419721,0.704008436858292,0.699037496915054,0.678188228080932,0.637565033963274,0.659504476368936,0.653316940462488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,255400000.0,207548000.0,160260000.0,115291000.0,91067000.0,62615000.0,36403000.0,15288000.0,14816000.0
,GeneralAndAdministrativeExpenses,166469000.0,141076000.0,103491000.0,81680000.0,64371000.0,47902000.0,32869000.0,16437000.0,11558000.0
,SellingAndMarketingExpenses,512339000.0,396514000.0,291668000.0,220742000.0,166987000.0,114052000.0,77875000.0,37622000.0,22749000.0
,otherExpenses,0.0,848000.0,-467000.0,2487000.0,1520000.0,-729000.0,-1533000.0,-517000.0,-96000.0
,operatingExpenses,934208000.0,745138000.0,555419000.0,417713000.0,322425000.0,224569000.0,147147000.0,69347000.0,49123000.0
,costAndExpenses,1185463000.0,979420000.0,736674000.0,545135000.0,416325000.0,291753000.0,193194000.0,93878000.0,62376000.0
,interestExpense,43319000.0,26708000.0,19882000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,42247000.0,38602000.0,36520000.0,31931000.0,27506000.0,19744000.0,11456000.0,5222000.0,2506000.0
,EBITDA,-113652000.0,-124402000.0,-101408000.0,-82712000.0,-76820000.0,-63241000.0,-54689000.0,-16611000.0,-21642000.0
,EBITDARatio,-0.110388475121508,-0.152375749617842,-0.169367311013351,-0.19213365172872,-0.24621873788057,-0.302924777743716,-0.430455965808468,-0.230564230689153,-0.566129538558125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-155899000.0,-163004000.0,-137928000.0,-114643000.0,-104326000.0,-82985000.0,-66145000.0,-21833000.0,-24148000.0
,operatingIncomeRatio,-0.151422349654805,-0.199658017481284,-0.230361455441874,-0.266306923241315,-0.334379276856657,-0.397498658798283,-0.520625900243213,-0.303046706919287,-0.631683582714241
,totalOtherIncomeExpensesNet,-25950000.0,848000.0,-467000.0,2487000.0,1520000.0,-729000.0,-1533000.0,-517000.0,-96000.0
,incomeBeforeTax,-212417000.0,-168303000.0,-143191000.0,-112156000.0,-102806000.0,-83714000.0,-67678000.0,-22350000.0,-24244000.0
,incomeBeforeTaxRatio,-0.206317431456422,-0.20614858111551,-0.239151493287638,-0.260529812400695,-0.329507466370085,-0.400990573267934,-0.532692110917835,-0.310222777430772,-0.634194831013916
,incomeTaxExpense,5761000.0,1350000.0,-12107000.0,-1518000.0,993000.0,338000.0,-263000.0,221000.0,121000.0
,netIncome,-218178000.0,-169653000.0,-131084000.0,-110638000.0,-103799000.0,-84052000.0,-67415000.0,-22571000.0,-24365000.0
,netIncomeRatio,-0.211913003951187,-0.207802149884373,-0.21893089891206,-0.257003614469026,-0.332690168878746,-0.402609595340282,-0.530622043463546,-0.313290304670692,-0.637360050224966
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.97256930003797,-1.53,-1.24,-1.11,-1.11,-0.99,-1.26,-0.4,-0.572375
,EPSDiluted,-1.97256930003797,-1.53,-1.24,-1.11,-1.11,-0.99,-1.26,-0.4,-0.572375
,weightedAverageShsOut,110606000.0,110606000.0,105567000.0,99918000.0,93161000.0,84926000.0,53571000.0,56025000.0,57202000.0
,weightedAverageShsOutDil,110606000.0,110606000.0,105567000.0,99918000.0,93161000.0,84926000.0,53571000.0,56025000.0,57202000.0
