Date,2018-12-31,2017-12-31
Cash and cash equivalents,3971226.0,3498904.0
Short-term investments,0.0,0.0
Cash and short-term investments,3971226.0,3498904.0
Receivables,5554313.0,5445036.0
Inventories,10799611.0,10520794.0
Total current assets,21031868.0,20239496.0
Property Plant & Equipment Net,3384206.0,2153233.0
Goodwill and Intangible Assets,6126814.0,5419414.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,9511020.0,7572647.0
Total assets,30542888.0,27812143.0
Payables,6292093.0,9718833.0
Short-term debt,853150.0,3024434.0
Total current liabilities,8482842.0,13914885.0
Long-term debt,968237.0,927432.0
Total debt,1821387.0,3951866.0
Deferred revenue,0.0,0.0
Tax Liabilities,1816463.0,1646058.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,1447101.0,1401872.0
Total liabilities,9929943.0,15316757.0
Other comprehensive income,-1190055.0,-596683.0
Retained earnings (deficit),10617253.0,1904719.0
Total shareholders equity,20802974.0,12683812.0
Investments,0.0,0.0
Net Debt,-2149839.0,452962.0
Other Assets,706718.0,774762.0
Other Liabilities,1337599.0,1171618.0
