date,,2020-05-31_FY,2019-05-26_FY,2018-05-27_FY,2017-05-28_FY
,revenue,3792400000.0,3756500000.0,3423700000.0,3168000000.0
,costOfRevenue,2897200000.0,2753000000.0,2544200000.0,2389200000.0
,grossProfit,895200000.0,1003500000.0,879500000.0,778800000.0
,grossProfitRatio,0.236051049467356,0.267136962598163,0.256885825276747,0.245833333333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,15400000.0,0.0,0.0
,GeneralAndAdministrativeExpenses,338300000.0,316400000.0,295400000.0,231300000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0
,operatingExpenses,338300000.0,335100000.0,299400000.0,260500000.0
,costAndExpenses,3235500000.0,3088100000.0,2843600000.0,2649700000.0
,interestExpense,108000000.0,-107100000.0,-108800000.0,-61200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,184000000.0,162400000.0,143300000.0,109100000.0
,EBITDA,740900000.0,830800000.0,723400000.0,627400000.0
,EBITDARatio,0.1953644130366,0.221163316917343,0.211291877208868,0.198042929292929
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,556900000.0,668400000.0,580100000.0,518300000.0
,operatingIncomeRatio,0.146846324227402,0.177931585252229,0.169436574466221,0.163604797979798
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0
,incomeBeforeTax,448900000.0,561300000.0,471300000.0,457100000.0
,incomeBeforeTaxRatio,0.118368315578525,0.149421003593771,0.137658089201741,0.144286616161616
,incomeTaxExpense,112300000.0,133600000.0,121200000.0,170200000.0
,netIncome,365900000.0,478600000.0,416800000.0,326900000.0
,netIncomeRatio,0.0964824385613332,0.127405829894849,0.121739638402897,0.103188131313131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,2.5,3.13497742921056,2.7241201025077,2.22988
,EPSDiluted,2.49,3.1251498991274,2.71449423146856,2.22988
,weightedAverageShsOut,146200000.0,152664576.0,153003533.0,153153153.0
,weightedAverageShsOutDil,147100000.0,153144654.0,153546099.0,153153153.0
