date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-1668000.0,-2889147.0,1464969.0,-578156.0,-950003.0,-14309480.0,-41157052.0,2593530.0,-4280828.0,-3222146.0,-4603890.0,-3990013.0,-8285142.0,-6986830.0,-4832366.0,-2842790.0,-1703866.0,-1452190.0,-108347.0,-238248.0,-1093859.0,-36870.0,-71337.0,-456562.0
,depreciationAndAmortization,1084000.0,1403836.0,1281634.0,1413838.0,1391815.0,1558899.0,5274323.0,2966368.0,845137.0,766977.0,1261122.0,1661522.0,2288061.0,1945119.0,1233016.0,720603.0,127894.0,105140.0,28195.0,0.0,1058631.0,0.0,0.0,0.0
,deferredIncomeTax,-1774000.0,-125419.0,9673.0,80363.0,0.0,22184.0,-988630.0,-10948875.0,18948.0,-169131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,188000.0,421673.0,131733.0,214862.0,328567.0,974137.0,1355430.0,1894719.0,846705.0,398090.0,423471.0,182810.0,1747368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,3693113.0,2228058.0,2109612.0,-2812886.0,6199252.0,-6709375.0,691489.0,283156.0,2410409.0,-4082718.0,3821235.0,662500.0,-282528.0,-5323735.0,477628.0,1021080.0,-2248212.0,4446759.0,549060.0,173626.0,-35228.0,-61870.0,-49843.0,0.0
,accountsReceivables,-309000.0,-1994029.0,-192593.0,-134303.0,206452.0,238.0,51452.0,-26104.0,-527269.0,701482.0,200339.0,109108.0,209399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-705000.0,-144097.0,87653.0,-444869.0,-268547.0,-68568.0,-34283.0,-17294.0,-34243.0,-182083.0,86977.0,73849.0,-32342.0,-20026.0,-20465.0,-81233.0,14150.0,-30207.0,-23633.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-201000.0,145003.0,618836.0,-893431.0,267581.0,907714.0,-384406.0,159948.0,-249503.0,-229528.0,-209516.0,276070.0,31096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,7013000.0,3319887.0,1091829.0,-1017783.0,1795103.0,-4404149.0,2305226.0,1613737.0,1330581.0,-1079828.0,3002890.0,-818345.0,-1480845.0,-1198317.0,4125418.0,3647790.0,2626710.0,4874922.0,428163.0,-120897.0,-294523.0,-259295.0,-197425.0,-147582.0
,otherNonCashItems,0.0,1901.0,58251.0,72000.0,39000.0,84379.0,48000.0,2456711.0,-4280828.0,-3583068.0,1220337.0,109464.0,2552738.0,1354742.0,1002420.0,0.0,0.0,0.0,216692.0,0.0,0.0,0.0,71281.0,455468.0
,netCashProvidedByOperatingActivites,-5683000.0,-5342874.0,-1382921.0,-1367530.0,5466525.0,-976630.0,-2390238.0,-3149239.0,-3163283.0,-2124505.0,-1759253.0,-1595101.0,-2390771.0,-3219322.0,-1411677.0,-1689721.0,-1424196.0,-326710.0,51430.0,0.0,0.0,0.0,-56.0,-1094.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-325000.0,-988876.0,-1003413.0,-958819.0,-269870.0,-157098.0,-280902.0,-378587.0,-245112.0,-523596.0,-157422.0,-62522.0,-334800.0,-1843157.0,-972024.0,-107083.0,-328602.0,-19945.0,-13412.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,0.0,0.0,-2000000.0,0.0,-1000000.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-9791000.0,-1829245.0,0.0,0.0,0.0,0.0,-750000.0,-250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74798.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,-793195.0,0.0,0.0,3043000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-177345.0,0.0,-185912.0,-361624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-10690000.0,-3981051.0,-1103551.0,-970371.0,151469.0,-115974.0,-2274616.0,4099030.0,-358681.0,-533670.0,-2427151.0,-107601.0,-2266003.0,-1940502.0,-2273694.0,-292995.0,-690226.0,-19945.0,-88210.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-304000.0,-274468.0,-1188081.0,-818332.0,-1386420.0,-939151.0,-774480.0,-433345.0,-1122441.0,-447402.0,-323283.0,-1716124.0,-586037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,6658906.0,887755.0,951118.0,199908.0,1128336.0,1764978.0,73422.0,0.0,0.0,6251696.0,1374901.0,1205163.0,355225.0,5545778.0,3296878.0,0.0,5025062.0,500000.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
