Date,2018-08-31,2017-08-31
Depreciation & Amortization,2672727.2727,1246794.8718
Stock-based compensation,3812878.7879,1771634.6154
Operating Cash Flow,-9624242.4242,-7426282.0513
Capital Expenditure,11363.6364,235576.9231
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,-32575757.5758,-7391826.9231
Investing Cash flow,-74240151.5152,-31601762.8205
Issuance (repayment) of debt,81527272.7273,-1425480.7692
Issuance (buybacks) of shares,48615909.0909,36439903.8462
Dividend payments,0.0,0.0
Financing Cash Flow,124174242.4242,32697115.3846
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,40309848.4848,-6330929.4872
Free Cash Flow,-9612878.7879,-7190705.1282
Net Cash/Marketcap,,
