Date,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30
Revenue,40791752.0,31012197.0,35579922.0,36917105.0,21134061.0,6772816.0
Revenue Growth,0.3153,-0.1284,-0.0362,0.7468,2.1204,
Cost of Revenue,8804416.0,5941991.0,6740563.0,9880714.0,313237.0,0.0
Gross Profit,31987336.0,25070206.0,28839359.0,27036391.0,20820824.0,6772816.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,1895669.0,1968788.0,1654366.0,1321401.0,558016.0,0.0
Operating Expenses,3953278.0,3939827.0,3495832.0,3271667.0,1894525.0,470564.0
Operating Income,28034058.0,21130379.0,25343527.0,23764724.0,18926299.0,6302252.0
Interest Expense,6310842.0,4748449.0,4048527.0,3527014.0,2466792.0,149198.0
Earnings before Tax,18204817.0,23579465.0,-9344770.0,15433288.0,16176034.0,7996171.0
Income Tax Expense,2579337.0,0.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,15625480.0,23579465.0,-9344770.0,15433288.0,16176034.0,7996171.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,15625480.0,23579465.0,-9344770.0,15433288.0,16176034.0,7996171.0
EPS,1.14,1.72,-0.68,1.13,0.51,
EPS Diluted,1.14,1.72,-0.68,1.13,0.51,
Weighted Average Shs Out,,,,,,
Weighted Average Shs Out (Dil),13689823.0,13686288.0,13674197.0,13666812.0,13666666.0,
Dividend per Share,1.0,1.203,1.827,1.369,0.519,0.0
Gross Margin,0.7842,0.8084,0.8106,0.7324,0.9852,1.0
EBITDA Margin,0.601,0.913,-0.149,0.514,0.882,1.203
EBIT Margin,0.601,0.9134,-0.1489,0.5136,0.8821,1.2027
Profit Margin,0.383,0.76,-0.263,0.418,0.765,1.181
Free Cash Flow margin,-0.202,1.313,1.1614,-1.3035,-3.0197,-23.5667
EBITDA,24515659.0,28327914.0,-5296243.0,18960302.0,18642826.0,8145369.0
EBIT,24515659.0,28327914.0,-5296243.0,18960302.0,18642826.0,8145369.0
Consolidated Income,15625480.0,23579465.0,-9344770.0,15433288.0,16176034.0,7996171.0
Earnings Before Tax Margin,0.4463,0.7603,-0.2626,0.4181,0.7654,1.1806
Net Profit Margin,0.3831,0.7603,-0.2626,0.4181,0.7654,1.1806
