date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2010-02-11_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,1198670000.0,1257910000.0,1192009000.0,1305652000.0,1257247000.0,1214299000.0,1204863000.0,1154519000.0,1070342000.0,1117316000.0,1110720000.0,1141910000.0,1141910000.0,1260793000.0,1200060000.0,1132653000.0,1165750000.0,205952000.0,1027437000.0,1991509000.0,4237755000.0,7132090000.0,3004300000.0,1187100000.0,918000000.0,344000000.0,205000000.0,157200000.0,153300000.0,119200000.0,122900000.0,114200000.0,116000000.0,115500000.0,108100000.0,117400000.0,126000000.0
,costOfRevenue,306190000.0,318020000.0,272883000.0,410349000.0,400973000.0,372864000.0,482591000.0,479546000.0,395434000.0,494559000.0,531089000.0,573686000.0,573686000.0,698740000.0,668405000.0,0.0,0.0,0.0,0.0,1095409000.0,3380188000.0,6295675000.0,2467800000.0,681400000.0,681900000.0,165900000.0,92400000.0,61000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,892480000.0,939890000.0,919126000.0,895303000.0,856274000.0,841435000.0,722272000.0,674973000.0,674908000.0,622757000.0,579631000.0,568224000.0,568224000.0,562053000.0,531655000.0,0.0,0.0,0.0,0.0,896100000.0,857567000.0,836415000.0,536500000.0,505700000.0,236100000.0,178100000.0,112600000.0,96200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.744558552395572,0.747183820782091,0.771073037200222,0.685713344750362,0.68107062494482,0.692938889021567,0.599464005451242,0.584635679447458,0.630553598756285,0.557368730063832,0.5218515917603,0.497608392955662,0.497608392955662,0.445793242824159,0.443023682149226,0.0,0.0,0.0,0.0,0.449960306481166,0.202363515587853,0.117274880154345,0.178577372432846,0.42599612501053,0.25718954248366,0.517732558139535,0.549268292682927,0.611959287531807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245618000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790936000.0,686814000.0,388700000.0,230800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,656276000.0,663040000.0,652854000.0,633888000.0,610327000.0,575619000.0,544254000.0,503940000.0,473684000.0,457208000.0,417014000.0,987925000.0,414239000.0,391837000.0,391562000.0,1022289000.0,1021298000.0,186110000.0,945464000.0,1525734000.0,941617000.0,795143000.0,457000000.0,431800000.0,177100000.0,127700000.0,74300000.0,66000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,962466000.0,981060000.0,925737000.0,1044237000.0,1011300000.0,948483000.0,1026845000.0,983486000.0,869118000.0,951767000.0,948103000.0,1561611000.0,987925000.0,1090577000.0,1059967000.0,1022289000.0,1021298000.0,186110000.0,945464000.0,2621143000.0,4321805000.0,7090818000.0,2924800000.0,1113200000.0,859000000.0,293600000.0,166700000.0,127000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,96812000.0,95068000.0,91988000.0,92263000.0,94970000.0,92153000.0,77802000.0,70486000.0,65062000.0,66859000.0,65826000.0,67760000.0,67760000.0,63952000.0,56942000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,166137000.0,159336000.0,144702000.0,123776000.0,112831000.0,106044000.0,100926000.0,91769000.0,89039000.0,89039000.0,85071000.0,82415000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,241057000.0,277263000.0,270238000.0,434471000.0,410831000.0,418101000.0,311992000.0,291601000.0,287601000.0,270406000.0,260731000.0,214915000.0,245523000.0,256845000.0,224936000.0,63831000.0,97977000.0,-11874000.0,-128718000.0,-864740000.0,-2848000.0,45436000.0,59200000.0,40500000.0,34800000.0,38800000.0,28300000.0,23300000.0,153300000.0,119200000.0,122900000.0,114200000.0,116000000.0,115500000.0,108100000.0,117400000.0,126000000.0
,EBITDARatio,0.201103723293317,0.220415610019795,0.226708019821998,0.332761715985577,0.326770316413561,0.344314703380304,0.258943962923586,0.252573582591538,0.268700097725774,0.242013897590297,0.23474052866609,0.188206601220762,0.215010815213108,0.203717025713182,0.187437294801927,0.0563553003435298,0.0840463221102295,-0.0576542106898695,-0.125280674143524,-0.434213453215627,-0.000672053953095448,0.00637064310742013,0.0197050893719003,0.0341167551175133,0.0379084967320261,0.112790697674419,0.138048780487805,0.148218829516539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,236204000.0,276850000.0,266272000.0,261415000.0,245947000.0,265816000.0,178018000.0,171033000.0,201224000.0,165549000.0,162617000.0,153985000.0,153985000.0,170216000.0,140093000.0,110364000.0,144452000.0,19842000.0,81973000.0,-629634000.0,-84050000.0,41272000.0,79500000.0,73900000.0,59000000.0,50400000.0,38300000.0,30200000.0,153300000.0,119200000.0,122900000.0,114200000.0,116000000.0,115500000.0,108100000.0,117400000.0,126000000.0
,operatingIncomeRatio,0.19705506936855,0.22008728764379,0.223380863735089,0.20021797538701,0.195623453466184,0.218904899040516,0.147749578167808,0.148142213337329,0.187999723452878,0.148166678003358,0.146406835205993,0.134848630802778,0.134848630802778,0.135007094741167,0.116738329750179,0.097438491753432,0.123913360497534,0.0963428371659416,0.0797839672894786,-0.316159254113338,-0.0198336147323288,0.00578680302688272,0.0264620710315215,0.0622525482267711,0.0642701525054466,0.146511627906977,0.186829268292683,0.192111959287532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,totalOtherIncomeExpensesNet,91959000.0,94655000.0,88022000.0,85344000.0,89422000.0,84570000.0,67604000.0,62749000.0,84729000.0,62928000.0,59481000.0,65261000.0,65261000.0,62394000.0,54514000.0,46951000.0,44395000.0,31292000.0,168548000.0,120004000.0,-81202000.0,-5210000.0,20300000.0,33400000.0,24200000.0,11600000.0,10000000.0,6900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,144245000.0,182195000.0,178250000.0,176071000.0,156525000.0,181246000.0,110414000.0,108284000.0,116495000.0,102621000.0,103136000.0,88724000.0,88724000.0,107822000.0,85579000.0,63413000.0,100057000.0,-11450000.0,-86575000.0,-749638000.0,-2848000.0,46482000.0,59200000.0,40500000.0,34800000.0,38800000.0,28300000.0,23300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,0.120337540774358,0.14483945592292,0.149537461546012,0.134852931715342,0.124498209182444,0.149259778687127,0.0916402943737172,0.0937914404180442,0.108839043969124,0.0918459952242696,0.0928550849899164,0.0776978921281012,0.0776978921281012,0.0855191930792763,0.0713122677199473,0.0559862552785363,0.08583058117092,-0.0555954785581106,-0.0842630740376296,-0.376417078707653,-0.000672053953095448,0.00651730418432746,0.0197050893719003,0.0341167551175133,0.0379084967320261,0.112790697674419,0.138048780487805,0.148218829516539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,-10970000.0,-19925000.0,-18710000.0,13368000.0,-7647000.0,30037000.0,-10272000.0,14301000.0,18089000.0,10065000.0,25760000.0,-15304000.0,15304000.0,40221000.0,32388000.0,25931000.0,38510000.0,-4930000.0,-48000.0,-798000.0,-47380000.0,-4117000.0,14500000.0,13200000.0,11100000.0,15400000.0,10100000.0,7900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,155215000.0,202120000.0,196960000.0,162703000.0,164172000.0,151209000.0,120686000.0,93983000.0,98406000.0,92556000.0,77376000.0,73420000.0,73420000.0,67601000.0,53191000.0,37900000.0,59467000.0,-6944000.0,-128670000.0,-863942000.0,44532000.0,49553000.0,44700000.0,27300000.0,23700000.0,23400000.0,18200000.0,15400000.0,15200000.0,13700000.0,14800000.0,17500000.0,16100000.0,13900000.0,13700000.0,13700000.0,13300000.0
,netIncomeRatio,0.129489350697023,0.160679221883919,0.165233651759341,0.124614368913003,0.130580546225205,0.124523696387792,0.100165744985114,0.0814044636770811,0.0919388382404876,0.0828378005864053,0.0696629213483146,0.0642957851319281,0.0642957851319281,0.053617842104136,0.0443236171524757,0.0334612630699782,0.0510117949817714,-0.033716594157862,-0.125233955950584,-0.433812752038781,0.0105083941851287,0.00694789325429152,0.0148786739007423,0.0229972201162497,0.0258169934640523,0.0680232558139535,0.088780487804878,0.0979643765903308,0.0991519895629485,0.11493288590604,0.120423108218063,0.153239929947461,0.138793103448276,0.12034632034632,0.126734505087882,0.116695059625213,0.105555555555556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,3.07,4.01,3.94,3.35,3.4,3.2,3.01,2.4638353650544,2.67,2.55,2.14,36710.0,2.03,1.78,1.45,1.07,1.67,-0.19,-3.44,-30.04,1.54,1.85,1.64,1.45,1.31,1.31164125333712,1.105,1.0,0.98,0.88,0.94,1.12,1.02,0.86,0.84,0.8,0.77
,EPSDiluted,3.06,3.98,3.92,3.34,3.39,3.17,3.01,2.45854541578188,2.66,2.53,2.14,36710.0,2.02,1.77,1.44,1.01,1.65,-0.19,-3.44,-30.04,1.53,1.83,1.62,1.44,1.31,1.30500003513462,1.105,1.0,0.98,0.88,0.94,1.12,1.02,0.86,0.84,0.8,0.77
