date,,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1005000000.0,1465000000.0,420000000.0,-1481000000.0,-457800000.0,-869100000.0,-700900000.0,-516100000.0,-846000000.0,-1113000000.0,1513000000.0,-309000000.0,1525000000.0,2563000000.0,2565000000.0,1408000000.0,1237000000.0
,depreciationAndAmortization,1090000000.0,1073000000.0,1061000000.0,1133000000.0,1163300000.0,1211900000.0,1330900000.0,1344200000.0,1526000000.0,1553000000.0,33000000.0,427000000.0,700000000.0,777000000.0,738000000.0,569000000.0,538000000.0
,deferredIncomeTax,-107000000.0,853000000.0,38000000.0,7000000.0,17900000.0,-13000000.0,218600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,248000000.0,245000000.0,263000000.0,329000000.0,50500000.0,38100000.0,11800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,206000000.0,-621000000.0,559000000.0,-282800000.0,-34300000.0,-80400000.0,43200000.0,-426700000.0,-84000000.0,391000000.0,-621493000000.0,621440000000.0,916000000.0,688000000.0,-306000000.0,160000000.0,0.0
,accountsReceivables,-156000000.0,-196000000.0,-81000000.0,-184000000.0,-61000000.0,63000000.0,-49000000.0,256000000.0,224000000.0,288000000.0,0.0,-316000000.0,-183000000.0,-117000000.0,-119000000.0,-70000000.0,-177000000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-284000000.0,-82000000.0,35000000.0,-162000000.0,12000000.0,-1200000.0,-34600000.0,-1200000.0,-386000000.0,-40000000.0,0.0,-100000000.0,-60000000.0,-105000000.0,-3000000.0,-68000000.0,-167000000.0
,otherWorkingCapital,285000000.0,79000000.0,700000000.0,141000000.0,423800000.0,458100000.0,538500000.0,495300000.0,922000000.0,1006000000.0,615000000.0,622108000000.0,668000000.0,-248000000.0,-936000000.0,-630000000.0,-790000000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,2307000000.0,2047000000.0,2111000000.0,795000000.0,1013200000.0,672700000.0,767400000.0,1115600000.0,754000000.0,999000000.0,-1783000000.0,-185000000.0,1323000000.0,2218000000.0,2327000000.0,1957000000.0,1912000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-310000000.0,-271000000.0,-232000000.0,-282000000.0,-308000000.0,-194100000.0,-193100000.0,-202900000.0,5000000.0,29000000.0,-4000000.0,-55000000.0,-170000000.0,-224000000.0,-177000000.0,-161000000.0,-211000000.0
,acquisitionsNet,-17000000.0,-1607000000.0,-6000000.0,-89000000.0,-30800000.0,-12100000.0,-32900000.0,-19200000.0,-3000000.0,-86000000.0,-17000000.0,-136000000.0,-287000000.0,-793000000.0,-62000000.0,-130000000.0,-619000000.0
,purchasesOfInvestments,0.0,0.0,0.0,-17000000.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,228000000.0,-72000000.0,-149000000.0,-297000000.0,10000000.0,448900000.0,315400000.0,-336500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-99000000.0,-1950000000.0,-387000000.0,-685000000.0,-328800000.0,242700000.0,89400000.0,-558600000.0,18000000.0,-48000000.0,-14000000.0,108000000.0,202000000.0,305000000.0,-233000000.0,-61000000.0,79000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-6301000000.0,-5409000000.0,-5073000000.0,-11568000000.0,-2261800000.0,-92200000.0,-83300000.0,-104500000.0,-220000000.0,-243000000.0,-265000000.0,-2033000000.0,-17000000.0,-242000000.0,-668000000.0,-236000000.0,-14000000.0
,commonStockIssued,68000000.0,50000000.0,23000000.0,2718000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7224000000.0,729000000.0,319000000.0,491000000.0,197000000.0,206000000.0
,commonStockRepurchased,-555000000.0,-498000000.0,-385000000.0,-429000000.0,-358400000.0,-425300000.0,-608300000.0,-485700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-255000000.0,-260000000.0,-316000000.0,-4000000.0,-686000000.0,-28000000.0,-6700000.0,-200000.0,-216000000.0,-10000000.0,-1000000.0,0.0,-2500000000.0,-155000000.0,-25000000.0,-59000000.0,-45000000.0
,otherFinancingActivites,4664000000.0,5866000000.0,3701000000.0,9267000000.0,2585200000.0,55400000.0,449800000.0,25900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-2124000000.0,9000000.0,-1734000000.0,-16000000.0,-721000000.0,-490100000.0,-248500000.0,-564500000.0,-653000000.0,-266000000.0,1783000000.0,26675000000.0,-2818000000.0,-1265000000.0,-3141000000.0,-1281000000.0,-631000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
