date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-1440000000.0,306000000.0,472000000.0,2625000000.0,133000000.0
,depreciationAndAmortization,298000000.0,264000000.0,277000000.0,288000000.0,300000000.0
,deferredIncomeTax,-30000000.0,5000000.0,-20000000.0,-2378000000.0,-66000000.0
,stockBasedCompensation,20000000.0,16000000.0,16000000.0,14000000.0,0.0
,changeInWorkingCapital,33000000.0,139000000.0,110000000.0,25000000.0,-37000000.0
,accountsReceivables,152000000.0,-3000000.0,-27000000.0,4000000.0,-9000000.0
,inventory,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-51000000.0,-28000000.0,-21000000.0,20000000.0,-1000000.0
,otherWorkingCapital,2000000.0,344000000.0,205000000.0,95000000.0,70000000.0
,otherNonCashItems,24000000.0,-41000000.0,-98000000.0,5000000.0,36000000.0
,netCashProvidedByOperatingActivites,-438000000.0,499000000.0,444000000.0,653000000.0,399000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,-914000000.0,-10000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,208000000.0,468000000.0,457000000.0,2000000.0,14000000.0
,netCashUsedForInvestingActivites,119000000.0,-635000000.0,419000000.0,-165000000.0,-210000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1105000000.0,-232000000.0,0.0,-55000000.0,-3680000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-66000000.0,0.0,-348000000.0,0.0,0.0
,dividendsPaid,-241000000.0,-494000000.0,-464000000.0,-386000000.0,-180000000.0
,otherFinancingActivites,-50000000.0,-27000000.0,-4000000.0,-18000000.0,975000000.0
,netCashUsedProvidedByFinancingActivities,914000000.0,97000000.0,-816000000.0,-459000000.0,30000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,-1000000.0,0.0,2000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,595000000.0,-39000000.0,46000000.0,29000000.0,221000000.0
,cashAtEndOfPeriod,981000000.0,386000000.0,425000000.0,379000000.0,293000000.0
,cashAtBeginningOfPeriod,386000000.0,425000000.0,379000000.0,350000000.0,72000000.0
,operatingCashFlow,-438000000.0,499000000.0,444000000.0,653000000.0,399000000.0
,capitalExpenditure,-86000000.0,-240000000.0,-188000000.0,-185000000.0,-227000000.0
,freeCashFlow,-524000000.0,259000000.0,256000000.0,468000000.0,172000000.0
