Date,2018-12-31,2018-01-01,2017-12,2017-01-02,2016-12,2015-12-28,2015-12,2014-12-29,2014-12,2013-12
Cash and cash equivalents,5766000.0,2174000.0,2000000.0,2069000.0,2000000.0,6867000.0,7000000.0,5056000.0,5000000.0,4000000.0
Short-term investments,0.0,0.0,,0.0,,0.0,,0.0,,
Cash and short-term investments,5766000.0,2174000.0,,2069000.0,,6867000.0,,5056000.0,,
Receivables,3564000.0,3788000.0,4000000.0,5330000.0,5000000.0,4944000.0,5000000.0,5661000.0,6000000.0,2000000.0
Inventories,549000.0,719000.0,1000000.0,917000.0,1000000.0,868000.0,1000000.0,640000.0,1000000.0,0000000.0
Total current assets,12052000.0,9352000.0,237000000.0,13116000.0,261000000.0,18896000.0,257000000.0,16329000.0,251000000.0,248000000.0
Property Plant & Equipment Net,4866000.0,10064000.0,10000000.0,28516000.0,29000000.0,21261000.0,21000000.0,12120000.0,12000000.0,10000000.0
Goodwill and Intangible Assets,188765000.0,194753000.0,227000000,195472000.0,231000000,193508000.0,235000000,188084000.0,233000000,232000000
Long-term investments,126181000.0,0.0,,57000.0,,143000.0,,225000.0,,
Tax assets,5171000.0,3551000.0,000000.0,4960000.0,000000.0,2383000.0,000000.0,1338000.0,1000000.0,2000000.0
Total non-current assets,234672000.0,236822000.0,116000000.0,260756000.0,149000000.0,256575000.0,154000000.0,250620000.0,157000000.0,213000000.0
Total assets,246724000.0,246174000.0,246000000.0,273872000.0,274000000.0,275471000.0,275000000.0,266949000.0,267000000.0,265000000.0
Payables,4773000.0,5389000.0,5000000.0,6160000.0,6000000.0,9798000.0,10000000.0,3057000.0,3000000.0,4000000.0
Short-term debt,11400000.0,8400000.0,8000000.0,7879000.0,8000000.0,2800000.0,3000000.0,2800000.0,3000000.0,2000000.0
Total current liabilities,32787000.0,27846000.0,28000000.0,22900000.0,23000000.0,24149000.0,24000000.0,18558000.0,19000000.0,18000000.0
Long-term debt,70644000.0,86994000.0,87000000.0,100965000.0,101000000.0,108237000.0,108000000.0,112200000.0,112000000.0,168000000.0
Total debt,82044000.0,95394000.0,87000000.0,108844000.0,101000000.0,111037000.0,108000000.0,115000000.0,112000000.0,168000000.0
Deferred revenue,1715000.0,918000.0,1000000.0,1358000.0,0000000.0,1795000.0,1000000.0,2848000.0,000000.0,1000000.0
Tax Liabilities,77000.0,77000.0,24000000.0,72000.0,44000000.0,0.0,42000000.0,0.0,42000000.0,41000000.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,
Total non-current liabilities,106108000.0,116157000.0,116000000.0,149476000.0,149000000.0,153666000.0,154000000.0,156649000.0,157000000.0,213000000.0
Total liabilities,147701000.0,144003000.0,144000000.0,172376000.0,172000000.0,177815000.0,178000000.0,175651000.0,176000000.0,231000000.0
Other comprehensive income,121171000,120614000,000000.0,119932000,000000.0,118701000,-0000000.0,117254000,-0000000.0,-1000000.0
Retained earnings (deficit),-22318000.0,-18613000.0,-19000000.0,-18606000.0,-19000000.0,-21214000.0,-21000000.0,-26125000.0,-26000000.0,-27000000.0
Total shareholders equity,99023000.0,102171000.0,102000000.0,101496000.0,101000000.0,97656000.0,98000000.0,91298000.0,91000000.0,34000000.0
Investments,126181000.0,0.0,,57000.0,,143000.0,,225000.0,,
Net Debt,76278000.0,93220000.0,93000000,106775000.0,107000000,104170000.0,104000000,109944000.0,110000000,166000000
Other Assets,0.0,0.0,1000000,0.0,2000000,0.0,5000000,0.0,8000000,13000000
Other Liabilities,8806000.0,0.0,12000000,0.0,10000000,0.0,9000000,444000.0,12000000,5000000
