date,,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2007-02-03_FY,2006-01-28_FY,2005-01-29_FY,2004-01-31_FY,2003-02-01_FY,2002-01-31_FY
,revenue,543496000.0,603880000.0,647071000.0,634117000.0,594328000.0,561807000.0,507621000.0,460600000.0,448400000.0,430300000.0,415300000.0,406200000.0,391277000.0,396700000.0,446800000.0,415100000.0,394400000.0,369158000.0,341500000.0,307213000.0
,costOfRevenue,370658000.0,438446000.0,444002000.0,426581000.0,391836000.0,359306000.0,304724000.0,279700000.0,279700000.0,261100000.0,244800000.0,237700000.0,256228000.0,283000000.0,306500000.0,289600000.0,267600000.0,243581000.0,219000000.0,0.0
,grossProfit,172838000.0,165434000.0,203069000.0,207536000.0,202492000.0,202501000.0,202897000.0,180800000.0,168600000.0,169200000.0,170500000.0,168500000.0,135049000.0,113700000.0,140400000.0,125500000.0,126800000.0,125577000.0,122500000.0,0.0
,grossProfitRatio,0.318011540103331,0.27395177849904,0.313828003418481,0.327283450845822,0.340707488121038,0.360445847061357,0.399701745987656,0.392531480677377,0.37600356824264,0.393214036718568,0.410546592824464,0.414820285573609,0.345149344326398,0.286614570204185,0.314234556848702,0.30233678631655,0.321501014198783,0.34017141711679,0.358711566617862,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,85569000.0,120101000.0,116272000.0,116895000.0,110277000.0,102471000.0,94738000.0,86600000.0,83200000.0,78900000.0,74800000.0,71300000.0,0.0,73400000.0,77500000.0,70500000.0,66400000.0,0.0,56500000.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,69595000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,155164000.0,218475000.0,198188000.0,198184000.0,185493000.0,176310000.0,174256000.0,156900000.0,147100000.0,138700000.0,128500000.0,121600000.0,125380000.0,139600000.0,141000000.0,125300000.0,115300000.0,95241000.0,90100000.0,0.0
,costAndExpenses,525822000.0,656921000.0,642190000.0,624765000.0,577329000.0,535616000.0,478980000.0,436600000.0,426800000.0,399800000.0,373300000.0,359300000.0,381608000.0,422600000.0,447500000.0,414900000.0,382900000.0,338822000.0,309100000.0,279460000.0
,interestExpense,571000.0,457000.0,267000.0,275000.0,0.0,346000.0,275000.0,274000.0,287000.0,101000.0,137000.0,209000.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
