date,,2020-09-30_FY,2019-09-30_FY
,revenue,17578800000.0,18289000000.0
,costOfRevenue,14381600000.0,14540000000.0
,grossProfit,3197200000.0,3749000000.0
,grossProfitRatio,0.181878171433772,0.204986603969599
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0
,GeneralAndAdministrativeExpenses,1623300000.0,1708900000.0
,SellingAndMarketingExpenses,0.0,0.0
,otherExpenses,93800000.0,76600000.0
,operatingExpenses,2023800000.0,2109100000.0
,costAndExpenses,16405400000.0,16649100000.0
,interestExpense,393500000.0,431300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,400500000.0,400200000.0
,EBITDA,1573900000.0,2040100000.0
,EBITDARatio,0.0895339841172321,0.11154792498223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1173400000.0,1639900000.0
,operatingIncomeRatio,0.066750858989237,0.0896659194051069
,totalOtherIncomeExpensesNet,-1302500000.0,-63900000.0
,incomeBeforeTax,-522600000.0,1144700000.0
,incomeBeforeTaxRatio,-0.0297289917400505,0.0625895346929849
,incomeTaxExpense,163500000.0,276800000.0
,netIncome,-690900000.0,862900000.0
,netIncomeRatio,-0.039303024097208,0.0471813658483241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.65361,3.34678
,EPSDiluted,-2.67,3.33
,weightedAverageShsOut,260400000.0,257800000.0
,weightedAverageShsOutDil,260400000.0,259100000.0
