date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY
,revenue,2506626000.0,1715534000.0,1180446000.0,824949000.0
,costOfRevenue,1182505000.0,895838000.0,798865000.0,717462000.0
,grossProfit,1324121000.0,819696000.0,381581000.0,107487000.0
,grossProfitRatio,0.528248330624513,0.47780807608593,0.32325155068508,0.130295327347509
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,1101561000.0,883509000.0,772185000.0,1534863000.0
,GeneralAndAdministrativeExpenses,529164000.0,580917000.0,477022000.0,1535595000.0
,SellingAndMarketingExpenses,555468000.0,458598000.0,400824000.0,522605000.0
,otherExpenses,14988000.0,59013000.0,-8248000.0,4528000.0
,operatingExpenses,2186193000.0,1923024000.0,1650031000.0,3593063000.0
,costAndExpenses,3368698000.0,2818862000.0,2448896000.0,4310525000.0
,interestExpense,97228000.0,24994000.0,3894000.0,3456000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,86744000.0,87245000.0,91648000.0,61288000.0
,EBITDA,-775328000.0,-1016083000.0,-1176802000.0,-3424288000.0
,EBITDARatio,-0.309311401062624,-0.592283802011502,-0.996913031176352,-4.15090872284226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-862072000.0,-1103328000.0,-1268450000.0,-3485576000.0
,operatingIncomeRatio,-0.34391728163675,-0.64313968711783,-1.07455148308351,-4.22520180035372
,totalOtherIncomeExpensesNet,14988000.0,59013000.0,-8248000.0,4528000.0
,incomeBeforeTax,-926185000.0,-1033267000.0,-1253364000.0,-3463408000.0
,incomeBeforeTaxRatio,-0.369494691270257,-0.60230050817996,-1.0617715676956,-4.19832983614745
,incomeTaxExpense,18654000.0,393000.0,2547000.0,-18342000.0
,netIncome,-944839000.0,-1033660000.0,-1255911000.0,-3445066000.0
,netIncomeRatio,-0.37693656732197,-0.602529591369218,-1.06392922674989,-4.17609573440297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.65,-0.75,-0.97,-2.95
,EPSDiluted,-0.65,-0.75,-0.97,-2.95
,weightedAverageShsOut,1455693000.0,1375462000.0,1300568000.0,1167818983.0
,weightedAverageShsOutDil,1455693000.0,1375462000.0,1300568000.0,1167818983.0
