date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-32885000.0,-102238000.0,-84604000.0,-43099000.0,-58900000.0,-35374000.0,-30310000.0,-15143000.0
,depreciationAndAmortization,2573000.0,2605000.0,1884000.0,1645000.0,1733000.0,1206000.0,783000.0,655000.0
,deferredIncomeTax,0.0,0.0,0.0,-513000.0,6000.0,8000.0,8000.0,10000.0
,stockBasedCompensation,14786000.0,19100000.0,16878000.0,11287000.0,10095000.0,3986000.0,553000.0,343000.0
,changeInWorkingCapital,5344000.0,-129822000.0,20113000.0,175074000.0,-21635000.0,118325000.0,50596000.0,5958000.0
,accountsReceivables,-785000.0,84000.0,10042000.0,-7826000.0,-1569000.0,1131000.0,-1638000.0,-237000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-857000.0,-374000.0,261000.0,-2441000.0,1765000.0,2944000.0,660000.0,366000.0
,otherWorkingCapital,223089000.0,217745000.0,347567000.0,327454000.0,152380000.0,174015000.0,55690000.0,5094000.0
,otherNonCashItems,2887000.0,1602000.0,0.0,11071000.0,1821000.0,2380000.0,53000.0,100000.0
,netCashProvidedByOperatingActivites,5259000.0,-140480000.0,-75521000.0,170373000.0,-2032000.0,-27415000.0,31802000.0,-8008000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-2309000.0,-3497000.0,-3788000.0,-1559000.0,-2176000.0,-1594000.0,-1663000.0,-732000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-199108000.0,-174992000.0,-204601000.0,-218707000.0,-121517000.0,-250901000.0,0.0,0.0
,salesMaturitiesOfInvestments,182699000.0,258190000.0,214315000.0,99000000.0,169500000.0,122750000.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,52000.0,-817000.0,0.0,0.0
,netCashUsedForInvestingActivites,-18718000.0,79701000.0,5926000.0,-121266000.0,45859000.0,-130562000.0,-1663000.0,-732000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,78000.0,-3067000.0,-1256000.0,-724000.0
,commonStockIssued,11288000.0,0.0,134596000.0,19957000.0,0.0,81777000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,-12000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,16893000.0,1627000.0,139624000.0,23796000.0,996000.0,153403000.0,25554000.0,2697000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,3434000.0,-59152000.0,70029000.0,72903000.0,44823000.0,-4574000.0,55693000.0,-6043000.0
,cashAtEndOfPeriod,192776000.0,189342000.0,248494000.0,177548000.0,104645000.0,59822000.0,64396000.0,8703000.0
,cashAtBeginningOfPeriod,189342000.0,248494000.0,178465000.0,104645000.0,59822000.0,64396000.0,8703000.0,14746000.0
,operatingCashFlow,5259000.0,-140480000.0,-75521000.0,170373000.0,-2032000.0,-27415000.0,31802000.0,-8008000.0
,capitalExpenditure,-2309000.0,-3497000.0,-3788000.0,-1559000.0,-2176000.0,-1594000.0,-1663000.0,-732000.0
,freeCashFlow,2950000.0,-143977000.0,-79309000.0,168814000.0,-4208000.0,-29009000.0,30139000.0,-8740000.0
