Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,419000.0,298000.0,220000.0
Stock-based compensation,2133000.0,408000.0,93000.0
Operating Cash Flow,-18778000.0,-12015000.0,-9380000.0
Capital Expenditure,-1019000.0,-388000.0,-869000.0
Acquisitions and disposals,0.0,0.0,0.0
Investment purchases and sales,-75320000.0,8350000.0,-8350000.0
Investing Cash flow,-76339000.0,7672000.0,-9219000.0
Issuance (repayment) of debt,0.0,0.0,0.0
Issuance (buybacks) of shares,140000.0,44000.0,0.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,122980000.0,16163000.0,22486000.0
Effect of forex changes on cash,0.0,0.0,0.0
Net cash flow / Change in cash,27863000.0,11820000.0,3887000.0
Free Cash Flow,-19797000.0,-12403000.0,-10249000.0
Net Cash/Marketcap,0.3422,0.3422,0.3422
