Date,2018-12-31,2017-12-31,2016-12-31
Revenue,869000.0,508000.0,0.0
Revenue Growth,0.710629921259842,0.0,
Cost of Revenue,0.0,0.0,0.0
Gross Profit,0.0,508000.0,0.0
R&D Expenses,68647000.0,25499000.0,10101000.0
SG&A Expense,8781000.0,4464000.0,3258000.0
Operating Expenses,77428000.0,29963000.0,13359000.0
Operating Income,-76559000.0,-29455000.0,-13359000.0
Interest Expense,0.0,-277000.0,0.0
Earnings before Tax,-76584000.0,-28962000.0,-13351000.0
Income Tax Expense,472000.0,444000.0,113000.0
Net Income - Non-Controlling int,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,-77056000.0,-29406000.0,-13464000.0
Preferred Dividends,0.0,0.0,0.0
Net Income Com,-77056000.0,-29406000.0,-13464000.0
EPS,-8.82,-170.84,-568.87
EPS Diluted,-8.82,-170.84,-568.87
Weighted Average Shs Out,8734109.0,13143000.0,
Weighted Average Shs Out (Dil),8734109.0,172130.0,23668.0
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.0,1.0,0.0
EBITDA Margin,-87.5293440736,-57.429,
EBIT Margin,-88.1001150748,-57.5571,0.0
Profit Margin,-88.6720368239,-57.886,
Free Cash Flow margin,-87.4338319908,-61.8425,0.0
EBITDA,-76063000.0,-29174000.0,-13351000.0
EBIT,-76559000.0,-29239000.0,-13351000.0
Consolidated Income,-77056000.0,-29406000.0,-13464000.0
Earnings Before Tax Margin,-88.1288837745,-57.0118,0.0
Net Profit Margin,-88.6720368239,-57.8858,0.0
