Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31
Revenue,5506190000.0,5506000000.0,4713882000.0,4714000000.0,4214614000.0,4215000000.0,4979733000.0,4980000000.0,4727356000.0,4727000000.0,3384705000.0,3090567000.0,0.0
Revenue Growth,0.0000345078096621867,0.168039420587957,-0.0000250318201103097,0.118489142777963,-0.0000915776986951364,-0.153569076896291,-0.0000536144578313253,0.0534429816582462,0.0000753120372329173,0.396576658822556,0.0951728275102918,0.0,0.0
Cost of Revenue,4527921000.0,4528000000.0,3883946000.0,3884000000.0,3496602000.0,3497000000.0,4194786000.0,4195000000.0,3971310000.0,3971000000.0,2812691000.0,2589800000.0,0.0
Gross Profit,978269000.0,978000000.0,829936000.0,830000000.0,718012000.0,718000000.0,784947000.0,785000000.0,756046000.0,756000000.0,572014000.0,500767000.0,0.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,2000000.0,,0.0,0.0,0.0
SG&A Expense,705226000.0,705000000.0,631053000.0,631000000.0,587778000.0,588000000.0,619268000.0,619000000.0,573670000.0,574000000.0,450340000.0,361727000.0,0.0
Operating Expenses,705226000.0,776000000.0,631053000.0,681000000.0,587778000.0,639000000.0,619268000.0,663000000.0,575670000.0,614000000.0,450340000.0,361727000.0,0.0
Operating Income,202851000.0,203000000.0,148709000.0,149000000.0,80728000.0,79000000.0,121276000.0,122000000.0,141741000.0,142000000.0,91754000.0,114200000.0,0.0
Interest Expense,21058000.0,21000000.0,13201000.0,13000000.0,14900000.0,15000000.0,13963000.0,14000000.0,11437000.0,11000000.0,10734000.0,13038000.0,0.0
Earnings before Tax,183169000.0,,136399000.0,,66449000.0,,107803000.0,,130543000.0,,81061000.0,101183000.0,0.0
Income Tax Expense,44107000.0,44000000.0,-35730000.0,-36000000.0,25867000.0,26000000.0,41750000.0,42000000.0,50586000.0,51000000.0,31844000.0,38728000.0,0.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,139062000.0,139000000.0,172129000.0,172000000.0,40582000.0,41000000.0,66053000.0,66000000.0,79957000.0,80000000.0,49217000.0,62455000.0,0.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,139062000.0,139000000.0,172129000.0,172000000.0,40582000.0,41000000.0,66053000.0,66000000.0,79957000.0,80000000.0,49217000.0,62455000.0,0.0
EPS,3.55,3.55,4.34,4.34,1.02,1.02,1.64,1.64,2.01,2.01,1.25,1.62,0.0
EPS Diluted,3.45,3.45,4.2,4.20,1.0,1.00,1.61,1.61,1.96,1.96,1.22,1.57,0.0
Weighted Average Shs Out,39223000.0,39000000.0,39627000.0,40000000.0,39938000.0,40000000.0,40271000.0,40000000.0,39783000.0,40000000.0,39405000.0,38643189.0,0.0
Weighted Average Shs Out (Dil),40293000.0,40000000.0,40980000.0,41000000.0,40603000.0,41000000.0,41093000.0,41000000.0,40894000.0,41000000.0,40506000.0,39688443.0,0.0
Dividend per Share,0.231603504331,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Gross Margin,0.177667134625,0.17762440973483,0.176062107622,0.17607127704709,0.170362457867,0.17034400948992,0.157628330676,0.15763052208835,0.159929990464,0.15993230378676,0.168999661714,0.162030785937,0.0
EBITDA Margin,0.0704612445266,0.070650199782056,0.0650546619538,0.065337293169283,0.0565544080668,0.056702253855279,0.0534588902658,0.053614457831325,0.056732135257,0.056695578591073,0.0547285509372,0.0606649200616,0.0
EBIT Margin,0.0368405376494,0.037050490374137,0.0315470349067,0.031607976240984,0.0191543045223,0.019454329774614,0.0243539161638,0.024497991967871,0.0299831449123,0.030040194626613,0.0271084186066,0.0369511484462,0.0
Profit Margin,0.0252555759972,0.025245187068652,0.0365153391621,0.036487059821807,0.00962887704544,0.0097271648873072,0.0132643657803,0.013253012048193,0.0169136828282,0.016924053310768,0.0145410013576,0.0202082659913,0.0
Free Cash Flow margin,-0.00415822919296,,-0.0121301296893,,0.0769240077502,,-0.0282223966626,,-0.0363592249029,,-0.00534640389635,0.0156557033062,0.0
EBITDA,387973000.0,389000000.0,306660000.0,308000000.0,238355000.0,239000000.0,266211000.0,267000000.0,268193000.0,268000000.0,185240000.0,187489000.0,0.0
EBIT,202851000.0,204000000,148709000.0,149000000,80728000.0,82000000,121276000.0,122000000,141741000.0,142000000,91754000.0,114200000.0,0.0
Consolidated Income,139062000.0,139000000.0,172129000.0,172000000.0,40582000.0,41000000.0,66053000.0,66000000.0,79957000.0,80000000.0,49217000.0,62455000.0,0.0
Earnings Before Tax Margin,0.0332660151575,0,0.0289355991516,0,0.0157663311516,0,0.0216483494195,0,0.0276143789467,0,0.0239492067994,0.0327392999408,0.0
Net Profit Margin,0.0252555759972,0.025245187068652,0.0365153391621,0.036487059821807,0.00962887704544,0.0097271648873072,0.0132643657803,0.013253012048193,0.0169136828282,0.016924053310768,0.0145410013576,0.0202082659913,0.0
