date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,3239331000.0,1530082000.0,1878718000.0,1027982000.0,702272000.0,796213000.0,723053000.0,664505000.0,615628000.0,461211000.0
,costOfRevenue,0.0,1035913000.0,835269000.0,657914000.0,434067000.0,441565000.0,431426000.0,383384000.0,368542000.0,264566000.0
,grossProfit,3239331000.0,494169000.0,1043449000.0,370068000.0,268205000.0,354648000.0,291627000.0,281121000.0,247086000.0,196645000.0
,grossProfitRatio,1.0,0.322968965062003,0.555404802636692,0.359994630256172,0.381910427868404,0.44541849982354,0.403327280296189,0.423053250163656,0.401356013696583,0.426366673821743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,97499000.0,142349000.0,76236000.0,90407000.0,23039000.0,25991000.0,24923000.0,27215000.0,27826000.0,7986000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,1856494000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,1856494000.0,380708000.0,240178000.0,181565000.0,52953000.0,65271000.0,55575000.0,52148000.0,0.0,0.0
,costAndExpenses,1856494000.0,1416621000.0,1075447000.0,839479000.0,487020000.0,506836000.0,487001000.0,435532000.0,485997000.0,322446000.0
,interestExpense,-125649000.0,121859000.0,71800000.0,64107000.0,28327000.0,29254000.0,30894000.0,24646000.0,26460000.0,14608000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,136239000.0,87277000.0,62774000.0,29914000.0,33840000.0,30652000.0,24933000.0,89629000.0,49894000.0
,EBITDA,1382837000.0,249700000.0,890548000.0,251277000.0,245166000.0,323217000.0,266704000.0,253906000.0,219260000.0,188659000.0
,EBITDARatio,0.426889688025089,0.163193868041059,0.474018985286775,0.244437159405515,0.349104050852092,0.405942882118227,0.368858161158311,0.382097952611342,0.356156640048861,0.409051388626897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1382837000.0,113461000.0,803271000.0,188503000.0,215252000.0,289377000.0,236052000.0,228973000.0,129631000.0,138765000.0
,operatingIncomeRatio,0.426889688025089,0.0741535420977438,0.427563370340839,0.183371887834612,0.306508019684681,0.363441692110026,0.326465694769263,0.344576790242361,0.210567095713645,0.300870967951762
,totalOtherIncomeExpensesNet,0.0,-66452000.0,-23357000.0,0.0,0.0,-4448000.0,-2639000.0,-6705000.0,-13843000.0,-23168000.0
,incomeBeforeTax,1382837000.0,-115982000.0,696363000.0,113164000.0,179591000.0,215929000.0,193558000.0,187600000.0,89328000.0,100989000.0
,incomeBeforeTaxRatio,0.426889688025089,-0.0758011662120069,0.370658608689543,0.110083639596802,0.255728549621799,0.271195019423195,0.267695452477204,0.282315407709498,0.145100612707674,0.218964855565023
,incomeTaxExpense,261924000.0,-12277000.0,76171000.0,94266000.0,21251000.0,18439000.0,3501000.0,5397000.0,1768000.0,11697000.0
,netIncome,1120913000.0,-58595000.0,289441000.0,2939000.0,32980000.0,20887000.0,190057000.0,182203000.0,87560000.0,89292000.0
,netIncomeRatio,0.346032251721112,-0.038295333191293,0.154063036602619,0.00285899947664453,0.046961860931377,0.0262329301330172,0.262853483769516,0.274193572659348,0.142228748529956,0.193603361585045
