Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Revenue,7216000.0,4494000.0,5702000.0,10762000.0,4040000.0,4370000.0,33720000.0,12101000.0,1715000.0
Revenue Growth,0.6057,-0.2119,-0.4702,1.6639,-0.0755,-0.8704,1.7865,6.056,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,7216000.0,4494000.0,5702000.0,10762000.0,4040000.0,4370000.0,33720000.0,12101000.0,1715000.0
R&D Expenses,55239000.0,49448000.0,58647000.0,97717000.0,45379000.0,24662000.0,30106000.0,30108000.0,21074000.0
SG&A Expense,23582000.0,27148000.0,25007000.0,31296000.0,17527000.0,8327000.0,6397000.0,6985000.0,5945000.0
Operating Expenses,78821000.0,76596000.0,83654000.0,129013000.0,62906000.0,32989000.0,36503000.0,37093000.0,27019000.0
Operating Income,-71605000.0,-72102000.0,-77952000.0,-118251000.0,-58866000.0,-28619000.0,-2783000.0,-24992000.0,-25304000.0
Interest Expense,0.0,0.0,0.0,0.0,446000.0,1232000.0,776000.0,212000.0,154000.0
Earnings before Tax,-69474000.0,-70984000.0,-76390000.0,-117372000.0,-59312000.0,-36445000.0,-4406000.0,-25589000.0,-25457000.0
Income Tax Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-69474000.0,-70984000.0,-76390000.0,-117372000.0,-59312000.0,-36445000.0,-4406000.0,-25589000.0,-25457000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,34108000.0,4357000.0,9565000.0,0.0
Net Income Com,-69474000.0,-70984000.0,-76390000.0,-117372000.0,-59312000.0,-36445000.0,-4406000.0,-25589000.0,-25457000.0
EPS,-1.43,-1.51,-1.65,-2.67,-1.8,-3.65,-5.75,-23.49,-17.52
EPS Diluted,-1.43,-1.51,-1.65,-2.67,-1.8,-3.65,-5.75,-23.49,-17.52
Weighted Average Shs Out,50724102.0,47127732.0,46315425.0,46146101.0,36475420.0,26420393.0,,,
Weighted Average Shs Out (Dil),48593435.0,46963430.0,46267064.0,43878326.0,33003714.0,19307422.0,1524628.0,1496262.0,1453000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EBITDA Margin,-9.509,-15.553,-13.211,-10.845,-14.501,-7.999,-0.099,-2.075,-14.63
EBIT Margin,-9.6278,-15.7953,-13.3971,-10.9062,-14.5708,-8.0579,-0.1077,-2.0971,-14.7539
Profit Margin,-9.628,-15.795,-13.397,-10.906,-14.681,-8.34,-0.131,-2.115,-14.844
Free Cash Flow margin,-7.4703,-11.1874,-11.3392,-9.4872,-11.9047,-5.8929,-0.0594,-2.1982,-12.7102
EBITDA,-68614000.0,-69893000.0,-75327000.0,-116715000.0,-58583000.0,-34955000.0,-3350000.0,-25107000.0,-25090000.0
EBIT,-69474000.0,-70984000.0,-76390000.0,-117372000.0,-58866000.0,-35213000.0,-3630000.0,-25377000.0,-25303000.0
Consolidated Income,-69474000.0,-70984000.0,-76390000.0,-117372000.0,-59312000.0,-36445000.0,-4406000.0,-25589000.0,-25457000.0
Earnings Before Tax Margin,-9.6278,-15.7953,-13.3971,-10.9062,-14.6812,-8.3398,-0.1307,-2.1146,-14.8437
Net Profit Margin,-9.6278,-15.7953,-13.3971,-10.9062,-14.6812,-8.3398,-0.1307,-2.1146,-14.8437
