date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-105900000.0,-243400000.0,-71500000.0,5260000.0,19304000.0,-22979000.0,-20789000.0,-1563000.0,255000.0,1370000.0,454000.0,-42374093.0,-4251792.0,-1847281.0,592311.0
,depreciationAndAmortization,248800000.0,211400000.0,132600000.0,62788000.0,46708000.0,24921000.0,17157000.0,7296000.0,3896000.0,2791000.0,1733000.0,2210726.0,2736503.0,1404977.0,1222872.0
,deferredIncomeTax,-20400000.0,100000.0,16500000.0,2209000.0,-30500000.0,0.0,0.0,-152000.0,0.0,0.0,0.0,-1227225.0,-2338373.0,0.0,0.0
,stockBasedCompensation,31200000.0,34400000.0,22200000.0,15775000.0,7876000.0,2418000.0,1466000.0,610000.0,698000.0,644000.0,551000.0,813489.0,0.0,0.0,0.0
,changeInWorkingCapital,-91700000.0,-64400000.0,-14200000.0,-29514000.0,-24239000.0,-26422000.0,-7098000.0,-3553000.0,-5151000.0,-6993000.0,-1375000.0,2880929.0,1522018.0,1351054.0,143789.0
,accountsReceivables,6300000.0,4500000.0,14200000.0,-14859000.0,-7891000.0,-4965000.0,485000.0,1017000.0,-2307000.0,3310000.0,3191000.0,-3765304.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-26900000.0,-7700000.0,-22700000.0,-12322000.0,-8694000.0,-14235000.0,604000.0,-4109000.0,2829000.0,-2981000.0,-6676000.0,3943531.0,0.0,0.0,0.0
,otherWorkingCapital,-31200000.0,-12800000.0,-18100000.0,3000.0,-1389000.0,-1355000.0,-6452000.0,560000.0,-1985000.0,-3069000.0,-353000.0,712680.0,122020.0,159825.0,0.0
,otherNonCashItems,11800000.0,7900000.0,8800000.0,2393000.0,2082000.0,1974000.0,2579000.0,303000.0,-42000.0,0.0,0.0,0.0,767821.0,149099.0,0.0
,netCashProvidedByOperatingActivites,107100000.0,82400000.0,63400000.0,60543000.0,24651000.0,-10127000.0,2679000.0,4013000.0,-28000.0,-2188000.0,1363000.0,4157988.0,-1563823.0,175245.0,-486772.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-102200000.0,-77700000.0,-42000000.0,-24189000.0,-14070000.0,-5819000.0,-4053000.0,-1839000.0,-530000.0,-186000.0,-389000.0,-608808.0,-358697.0,-50564.0,0.0
,acquisitionsNet,-53000000.0,-2243000000.0,-706000000.0,-14000000.0,-301000000.0,-37000000.0,-52000000.0,-14000000.0,-15000000.0,0.0,-4000000.0,0.0,0.0,-44000000.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166038591.0,-161441000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222741468.0,108012000.0
,otherInvestingActivites,0.0,-105800000.0,304300000.0,-304266000.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,10287179.0,-10149180.0,0.0
,netCashUsedForInvestingActivites,-155000000.0,-2426300000.0,-460400000.0,-362601000.0,-314772000.0,-43513000.0,-59979000.0,-17395000.0,-16134000.0,-186000.0,-4100000.0,-608808.0,9928482.0,2133028.0,-53429000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-104200000.0,-756100000.0,-504400000.0,-38050000.0,-354559000.0,-100124000.0,-28866000.0,-7177000.0,-2577000.0,-7760000.0,0.0,-600000.0,0.0,0.0,0.0
,commonStockIssued,0.0,424500000.0,0.0,0.0,0.0,72680000.0,6182000.0,0.0,247000.0,936000.0,0.0,0.0,0.0,0.0,55298976.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10149180.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-8100000.0,-97300000.0,-66700000.0,-22598000.0,-19779000.0,-11167000.0,-120000.0,152000.0,0.0,806000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,35000000.0,2304300000.0,469700000.0,318611000.0,253531000.0,91883000.0,57684000.0,14692000.0,13002000.0,3482000.0,3078000.0,0.0,-8826680.0,0.0,55298976.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-600000.0,-6300000.0,-1200000.0,-1435000.0,1964000.0,5228000.0,675000.0,167000.0,-153000.0,-94000.0,-578000.0,-1096958.0,16323.0,87550.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-13500000.0,-45900000.0,71500000.0,15118000.0,-34626000.0,43471000.0,1059000.0,1477000.0,-3313000.0,1014000.0,-237000.0,2452222.0,-445698.0,2395823.0,0.0
