Date,2018-12-31,2017-12-31,2017-01-01,2016-12-31,2016-01-01,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,25271111.1111,26205027.4941,,25812500.0,,10791610.9906,3008000.0,16607532.7022,2410000.0,15126598.6842,2268989.9396,0.0,0.0,0.0
Revenue Growth,-0.0356,0.0152,,1.3919,,2.5876,-0.8189,5.8911,-0.8407,5.6667,0.0,0.0,0.0,0.0
Cost of Revenue,20629629.6296,17365278.8688,,17084077.381,,6198987.7079,9804994.8365,8428955.8271,1443228.3702,0.0,0.0,0.0,,
Gross Profit,4641481.4815,8839748.6253,0.0,8715453.1947,0.0,8728422.619,4574760.8758,4592623.2827,3008000.0,6802537.8657,2410000.0,6697642.8571,825761.5694,0.0
R&D Expenses,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,280.5344,,
SG&A Expense,2640740.7407,2602513.7471,,2819196.4286,,2384121.4751,2664368.3305,3942366.5414,1922875.2515,1479671.2329,724757.2718,582180.3435,,
Operating Expenses,3107407.4074,4187745.4831,,20938335.8098,,3725446.4286,8649853.0683,2407206.0738,3459017.2117,3942366.5414,1941394.3662,3955623.2877,1113984.9549,638528.626
Operating Income,1534074.0741,4652003.1422,-1113984.9549,4835809.8068,-638528.626,5002976.1905,2099785.3644,2185417.209,2637000.0,3343520.654,2083000.0,2755276.3158,-1115632.7968,-3955623.2877
Interest Expense,409629.6296,204241.9482,,-93610.6984,,199404.7619,-101441.9476,109890.094,218666.9535,49579.8872,0.0,0.0,0.0,0.0
Earnings before Tax,1505925.9259,4157894.7368,,4802827.381,,1664321.7643,2687000.0,4201303.7866,3690000.0,3204146.6165,-1008910.4628,-4009640.9002,-765459.3781,-1171107.8244
Income Tax Expense,301481.4815,2176747.8397,,3302827.381,,1390939.9855,2037647.1601,2406954.8872,261892.3541,84636.0078,27760.2808,-228589.6947,,
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Net Income,1204444.4444,1981146.8971,,1500000.0,,273381.7787,2163656.6265,797191.7293,-1270802.8169,-4094276.908,-793219.659,-942518.1298,,
Preferred Dividends,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Net Income Com,1204444.4444,1981146.8971,,1500000.0,,273381.7787,2163656.6265,797191.7293,-1270802.8169,-4094276.908,-793219.659,-942518.1298,,
EPS,0.0222,0.0393,,0.0372,,0.0072,0.0,0.0688,0.01,0.0282,-0.0503,-0.1566,-0.0401,-0.0477
EPS Diluted,0.0222,0.0393,,0.0372,,0.0072,0.0,0.0688,0.01,0.0282,-0.0503,-0.1566,-0.0401,-0.0477
Weighted Average Shs Out,39050483.7037,41186960.7227,,27751494.7917,,25578317.4259,546283000.0,23656483.6489,639360000.0,25495691.7293,27072662.9779,25594155.5773,20646667.001,19641915.0763
Weighted Average Shs Out (Dil),42112315.5556,41259586.8028,,31767856.3988,,26196257.4114,27825493.9759,25756747.1805,27235465.7948,26218818.0039,20119366.0983,19641915.0763,,
Dividend per Share,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Gross Margin,0.1837,0.3373,,0.3381,,0.4256,1.0,0.4096,1.0,0.4428,0.3639,0.0,0.0,0.0
EBITDA Margin,0.1267,0.194,,0.1853,,0.1699,0.2857,0.2575,-0.3602,,,,,
EBIT Margin,0.0758,0.1665,,0.1938,,0.1644,0.2661,0.2151,-0.4447,0.0,0.0,0.0,,
Profit Margin,0.0356,0.0597,,0.0432,,0.0181,0.1119,0.0498,-0.5634,,,,,
Free Cash Flow margin,-0.1628,-0.4287,,-0.1058,,-1.6865,-0.7498,-0.009,-2.1255,0.0,0.0,0.0,,
EBITDA,4327407.4074,6485467.3998,,6425595.2381,,2532892.2632,5519585.1979,4146595.8647,-813283.7022,-4008855.1859,-761613.8415,-1168886.4504,,
EBIT,1915555.5556,4362136.685,,4835809.8068,,5002232.1429,2099785.3644,1774211.8583,4419970.7401,3253726.5038,-1008910.4628,-4009640.9002,-765459.3781,-1171107.8244
Consolidated Income,1204444.4444,1981146.8971,,1500000.0,,273381.7787,2163656.6265,797191.7293,-1270802.8169,-4094276.908,-793219.659,-942518.1298,,
Earnings Before Tax Margin,0.0596,0.1587,,0.1861,,0.1542,0.8933,0.253,1.5311,0.2118,-0.4447,0.0,0.0,0.0
Net Profit Margin,0.0477,0.0756,,0.0581,,0.0253,0.1303,0.0527,-0.5601,0.0,0.0,0.0,,
